Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Mist Luxury Resort,,+91 91944 60911,"3rd Curve, Hobart Enclave Near Royal Castle, Hobart Rd",4.1,172,Unknown,https://www.google.com/maps/place/Mist+Luxury+Resort/data=!4m7!3m6!1s0x3ba89618f19ed31b:0xc8289a18b80a81c4!8m2!3d11.3939532!4d76.7124442!16s%2Fg%2F11c6y_l2rl!19sChIJG9Oe8RiWqDsRxIEKuBiaKMg?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Maple view resorts,,+91 97873 06274,,4.2,183,Unknown,https://www.google.com/maps/place/Maple+view+resorts/data=!4m10!3m9!1s0x3ba8963cfd417715:0x7825fc289da64e7d!5m2!4m1!1i2!8m2!3d11.3882814!4d76.7076242!16s%2Fg%2F11cn7x3m78!19sChIJFXdB_TyWqDsRfU6mnSj8JXg?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Albisville-hilltop mansions,,+91 90618 86885,,4.2,252,Unknown,https://www.google.com/maps/place/Albisville-hilltop+mansions/data=!4m10!3m9!1s0x3ba8976a6e981229:0xd2f48f12250ade08!5m2!4m1!1i2!8m2!3d11.3950833!4d76.6977736!16s%2Fg%2F11f5_hxpmz!19sChIJKRKYbmqXqDsRCN4KJRKP9NI?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
GRAND UB RESIDENCY,,+91 99953 09916,,4.8,42,Unknown,https://www.google.com/maps/place/GRAND+UB+RESIDENCY/data=!4m10!3m9!1s0x3bae15183de95959:0x7ae8a1d17256a1b8!5m2!4m1!1i2!8m2!3d12.9251609!4d77.615879!16s%2Fg%2F11msld4z70!19sChIJWVnpPRgVrjsRuKFWctGh6Ho?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Ganesh Estate Homestay,,+91 73537 14416,,3.9,237,Unknown,https://www.google.com/maps/place/Ganesh+Estate+Homestay/data=!4m10!3m9!1s0x3ba5ab1d4740dfa3:0x7e35c3485274e971!5m2!4m1!1i2!8m2!3d12.4046164!4d75.7419562!16s%2Fg%2F1hm3y8vwm!19sChIJo99ARx2rpTsRcel0UkjDNX4?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
grace view,,+91 96639 73477,,4.5,74,Unknown,https://www.google.com/maps/place/grace+view/data=!4m10!3m9!1s0x3ba5aaa3e4f6fadb:0xb545eb0537f96be2!5m2!4m1!1i2!8m2!3d12.4168766!4d75.7322288!16s%2Fg%2F11cr_5ggtv!19sChIJ2_r25KOqpTsR4mv5NwXrRbU?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Dharani Homestay,,+91 94483 03653,,4.8,91,Unknown,https://www.google.com/maps/place/Dharani+Homestay/data=!4m10!3m9!1s0x3ba5ab2188e21435:0x4e866c7c6fca0b3e!5m2!4m1!1i2!8m2!3d12.4106193!4d75.7335157!16s%2Fg%2F11f776lv2v!19sChIJNRTiiCGrpTsRPgvKb3xshk4?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Hotel New Rajdarshan,,+91 77600 37767,,3.7,490,Unknown,https://www.google.com/maps/place/Hotel+New+Rajdarshan/data=!4m10!3m9!1s0x3ba5aa9896fc45ed:0xa9bba9fd8e1077f1!5m2!4m1!1i2!8m2!3d12.4156971!4d75.7377539!16s%2Fg%2F1td2kxtq!19sChIJ7UX8lpiqpTsR8XcQjv2pu6k?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
New Hill Valley,,+91 99002 45600,,4.2,121,No,https://www.google.com/maps/place/New+Hill+Valley/data=!4m10!3m9!1s0x3ba5aa9ae87edaad:0xf3ac3731a9ed68ae!5m2!4m1!1i2!8m2!3d12.4135817!4d75.7478187!16s%2Fg%2F1th7lb7p!19sChIJrdp-6JqqpTsRrmjtqTE3rPM?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
OYO 6556 Ramra Stay,,+91 124 620 1327,,4.3,93,Unknown,https://www.google.com/maps/place/OYO+6556+Ramra+Stay/data=!4m10!3m9!1s0x3ba500060386cac3:0x14741bacf7bb761a!5m2!4m1!1i2!8m2!3d12.4276432!4d75.7251723!16s%2Fg%2F11c486tk1d!19sChIJw8qGAwYApTsRGna796wbdBQ?authuser=0&hl=en&rclk=1,63,Warm,directory_or_aggregator,no matching own-domain result in top results (checked 2x),Google Maps
sabaoth stays,,+91 78929 82399,,5.0,41,Unknown,https://www.google.com/maps/place/sabaoth+stays/data=!4m10!3m9!1s0x3ba5012ccbd9e327:0x2fc7b7947f992d47!5m2!4m1!1i2!8m2!3d12.4282632!4d75.7236024!16s%2Fg%2F11yh3rx04x!19sChIJJ-PZyywBpTsRRy2Zf5S3xy8?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Ajantha,,+91 80880 04755,,4.7,81,Unknown,https://www.google.com/maps/place/Ajantha/data=!4m10!3m9!1s0x3ba5000b3db3036d:0x4ccf34d727087929!5m2!4m1!1i2!8m2!3d12.4261394!4d75.7263504!16s%2Fg%2F11bbwqnslp!19sChIJbQOzPQsApTsRKXkIJ9c0z0w?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Green Mountain Villa,,+91 90870 66488,,4.7,62,Unknown,https://www.google.com/maps/place/Green+Mountain+Villa/data=!4m10!3m9!1s0x3ba8bddfeae1adf3:0xfafb68a97f994af8!5m2!4m1!1i2!8m2!3d11.4138152!4d76.6910525!16s%2Fg%2F11x_cqmx8x!19sChIJ863h6t-9qDsR-EqZf6lo-_o?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Natures Retreat Resort Ooty,,+91 78250 51515,HPF GUEST HOUSE,3.7,116,Unknown,https://www.google.com/maps/place/Natures+Retreat+Resort+Ooty/data=!4m7!3m6!1s0x3ba8bd9e48c83289:0x2176ed46a6b88e6f!8m2!3d11.4295186!4d76.6701134!16s%2Fg%2F11stst_44r!19sChIJiTLISJ69qDsRb464pkbtdiE?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Skyblue Resort,,+91 94477 95491,,3.8,115,Unknown,https://www.google.com/maps/place/Skyblue+Resort/data=!4m10!3m9!1s0x3ba8bd7d2e80ac71:0x50886ac478c53878!5m2!4m1!1i2!8m2!3d11.4024724!4d76.6766219!16s%2Fg%2F11f2wf18lq!19sChIJcayALn29qDsReDjFeMRqiFA?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Kanva Star Resorts,,+91 98450 28063,,3.8,2402,No,https://www.google.com/maps/place/Kanva+Star+Resorts/data=!4m10!3m9!1s0x3bae6ae1d01d2223:0x121532aa278203fc!5m2!4m1!1i2!8m2!3d12.8515009!4d77.6058727!16s%2Fg%2F1thkq3xh!19sChIJIyId0OFqrjsR_AOCJ6oyFRI?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Euro Valley Homestay,,+91 94485 04653,,4.4,84,Unknown,https://www.google.com/maps/place/Euro+Valley+Homestay/data=!4m10!3m9!1s0x3ba4fff71401a5db:0x7ee5497fc61dede!5m2!4m1!1i2!8m2!3d12.42509!4d75.70045!16s%2Fg%2F11b7q8j6jz!19sChIJ26UBFPf_pDsR3t5h_JdU7gc?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Hill view home stay,,+91 70261 92435,,4.4,34,Unknown,https://www.google.com/maps/place/Hill+view+home+stay/data=!4m10!3m9!1s0x3ba5007a6b8a3ed7:0x96d3c96378b7b75b!5m2!4m1!1i2!8m2!3d12.4310538!4d75.7498295!16s%2Fg%2F11dzzztlsm!19sChIJ1z6Ka3oApTsRW7e3eGPJ05Y?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Roshan Homestay,,+91 94838 26003,,4.4,42,Unknown,https://www.google.com/maps/place/Roshan+Homestay/data=!4m10!3m9!1s0x3ba5007833984afb:0xc58e183d136f83ac!5m2!4m1!1i2!8m2!3d12.4265151!4d75.7497866!16s%2Fg%2F1q62jk1s1!19sChIJ-0qYM3gApTsRrINvEz0YjsU?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
J R Mist Valley Inn,,+91 99651 04600,,3.4,185,Unknown,https://www.google.com/maps/place/J+R+Mist+Valley+Inn/data=!4m10!3m9!1s0x3ba8bdbbfeacf08b:0x3ba4a89ff8eb41b6!5m2!4m1!1i2!8m2!3d11.4294593!4d76.7044388!16s%2Fg%2F11c59s4421!19sChIJi_Cs_ru9qDsRtkHr-J-opDs?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Jevis Daffodils rooms and cottage,,+91 97869 70446,,4.2,83,Unknown,https://www.google.com/maps/place/Jevis+Daffodils+rooms+and+cottage/data=!4m10!3m9!1s0x3ba8bd506b9a31f7:0x2feb55a2c9b48861!5m2!4m1!1i2!8m2!3d11.4034002!4d76.7046777!16s%2Fg%2F11frnhkxqf!19sChIJ9zGaa1C9qDsRYYi0yaJV6y8?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg City Stay,,+91 90353 72475,,3.7,51,Unknown,https://www.google.com/maps/place/Coorg+City+Stay/data=!4m10!3m9!1s0x3ba5000bc1af4a41:0x236dfc17ed92c703!5m2!4m1!1i2!8m2!3d12.4265805!4d75.7326176!16s%2Fg%2F11b73n_1t3!19sChIJQUqvwQsApTsRA8eS7Rf8bSM?authuser=0&hl=en&rclk=1,53,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Silver Dollar Resorts,,+91 97874 97435,"10/260 Annai Indra Nagar, Ooty Main Road, Coimbatore-Ooty-Gundlupet Hwy",3.9,73,Unknown,https://www.google.com/maps/place/Silver+Dollar+Resorts/data=!4m7!3m6!1s0x3ba895c12fd81361:0x9be3bcc3ba65bf!8m2!3d11.3764038!4d76.7531343!16s%2Fg%2F11c5xfy38_!19sChIJYRPYL8GVqDsRv2W6w7zjmwA?authuser=0&hl=en&rclk=1,53,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
White House Villa Madikeri,,+91 78927 69210,,4.9,11,Unknown,https://www.google.com/maps/place/White+House+Villa+Madikeri/data=!4m10!3m9!1s0x3ba501a994ed8371:0x3ce444194571ac1f!5m2!4m1!1i2!8m2!3d12.4279671!4d75.7206641!16s%2Fg%2F11y8kqs03h!19sChIJcYPtlKkBpTsRH6xxRRlE5Dw?authuser=0&hl=en&rclk=1,48,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Amma Holidays inn,,+91 94817 72856,,3.6,61,No,https://www.google.com/maps/place/Amma+Holidays+inn/data=!4m10!3m9!1s0x3ba5007215ef8961:0xc6fd22630a999bab!5m2!4m1!1i2!8m2!3d12.433218!4d75.7417294!16s%2Fg%2F11b7j3xtfx!19sChIJYYnvFXIApTsRq5uZCmMi_cY?authuser=0&hl=en&rclk=1,48,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
RIYAN VALLEY RESORT,,+91 88380 57237,"Fun City, 733/31B, Coonoor Rd",4.2,14,Unknown,https://www.google.com/maps/place/RIYAN+VALLEY+RESORT/data=!4m7!3m6!1s0x3ba897eb24bc1021:0xaa0d8e45d562fd68!8m2!3d11.3982141!4d76.7208367!16s%2Fg%2F11z7cs2bsc!19sChIJIRC8JOuXqDsRaP1i1UWODao?authuser=0&hl=en&rclk=1,43,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
the coorg silveroak estate homestay,,+91 91485 17954,,4.0,20,No,https://www.google.com/maps/place/the+coorg+silveroak+estate+homestay/data=!4m10!3m9!1s0x3ba50073eea9d26f:0xb0329c54ad71b065!5m2!4m1!1i2!8m2!3d12.430054!4d75.741876!16s%2Fg%2F11f4wt5s8x!19sChIJb9Kp7nMApTsRZbBxrVScMrA?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Viharana Spa and Resorts,,+91 94424 04788,,5.0,2,Unknown,https://www.google.com/maps/place/Viharana+Spa+and+Resorts/data=!4m10!3m9!1s0x3ba8bd2fd81df4b9:0x88076830c5569654!5m2!4m1!1i2!8m2!3d11.4691186!4d76.6985442!16s%2Fg%2F11w9q2g6qs!19sChIJufQd2C-9qDsRVJZWxTBoB4g?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Rest Inn Home Stay,,+91 9449254990,Beeruga Road Kurchi Village,0.0,0,Unknown,,23,Cold,none,no matching own-domain result in top results (checked 2x),OpenStreetMap
Templetree Homestay,,00918274244270,77 Devagundi Estate,0.0,0,Unknown,,23,Cold,none,no matching own-domain result in top results (checked 2x),OpenStreetMap
Igloo Residency,,+91 97452 00055,,0.0,0,Unknown,,23,Cold,none,no matching own-domain result in top results (checked 2x),OpenStreetMap
Grass Roots,,+91- 8884733500,Koilery Kunnu via Pinangode Pozhuthana Pozhuthana,0.0,0,Unknown,,23,Cold,none,no matching own-domain result in top results (checked 2x),OpenStreetMap
