Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Gerchino Homes,,+254 755 955511,,5.0,22,Unknown,https://www.google.com/maps/place/Gerchino+Homes/data=!4m7!3m6!1s0xae6db545dd8a7477:0xaca5bf608181f70a!8m2!3d-4.0251308!4d39.6959939!16s%2Fg%2F11lyrxw_n_!19sChIJd3SK3UW1ba4RCveBgWC_paw?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Beach Road Apartments,,+254 722 784692,"XM7X+HJJ, Off Beach Rd",4.3,228,No,https://www.google.com/maps/place/Beach+Road+Apartments/data=!4m7!3m6!1s0x1840127ce82e3045:0x860c60a9a3dd5679!8m2!3d-4.0331724!4d39.6965034!16s%2Fg%2F11f2y493h4!19sChIJRTAu6HwSQBgReVbdo6lgDIY?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
NOLCARE AIRBnB KISUMU,,+254 708 662095,NHC apartments,5.0,25,Unknown,https://www.google.com/maps/place/NOLCARE+AIRBnB+KISUMU/data=!4m7!3m6!1s0x182aa57ce11364d3:0xeec1c73d764b38c0!8m2!3d-0.0737018!4d34.772977!16s%2Fg%2F11yj0syk4y!19sChIJ02QT4XylKhgRwDhLdj3Hwe4?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
QORA Homes,,+254 791 586758,"NHC Apartments, off kakamega road",5.0,27,Unknown,https://www.google.com/maps/place/QORA+Homes/data=!4m7!3m6!1s0x17803dca4810ea63:0x78e85aed20276961!8m2!3d-0.0738713!4d34.7729785!16s%2Fg%2F11y4qlz61b!19sChIJY-oQSMo9gBcRYWknIO1a6Hg?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Real Homes Kenya,,+254 795 475465,"Rattansi educational trust Koinange Street, Monrovia St",4.4,21,Unknown,https://www.google.com/maps/place/Real+Homes+Kenya/data=!4m7!3m6!1s0x182f10d7fdff7295:0x9c965f67322e0a40!8m2!3d-1.2815857!4d36.817976!16s%2Fg%2F11f15jxdrh!19sChIJlXL__dcQLxgRQAouMmdflpw?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Bamburi Parkside Estate Kenya Project,,+254 723 099457,Along Jcc Road,4.3,86,Unknown,https://www.google.com/maps/place/Bamburi+Parkside+Estate+Kenya+Project/data=!4m7!3m6!1s0x18400df541ec8973:0x4644ccff1425f339!8m2!3d-3.9952096!4d39.7145616!16s%2Fg%2F11f7671g7g!19sChIJc4nsQfUNQBgROfMlFP_MREY?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Salyanis Properties,,+254 722 513590,"Majengo Nkurumah Rd, Kaunda Ave Kader Bouy Building Mvita",4.5,2,Unknown,https://www.google.com/maps/place/Salyanis+Properties/data=!4m7!3m6!1s0x1840131f2ec57a87:0xe351ee39d9af3a03!8m2!3d-4.0633784!4d39.6746848!16s%2Fg%2F11g_nsb18!19sChIJh3rFLh8TQBgRAzqv2TnuUeM?authuser=0&hl=en&rclk=1,58,Warm,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Zeddy Real Estates,,+254 703 287361,Oginga Odinga Rd,5.0,4,Unknown,https://www.google.com/maps/place/Zeddy+Real+Estates/data=!4m7!3m6!1s0x182aa569723b82c7:0x673e55ebf93d6c42!8m2!3d-0.1050902!4d34.7558348!16s%2Fg%2F11z2x6k6jh!19sChIJx4I7cmmlKhgRQmw9-etVPmc?authuser=0&hl=en&rclk=1,58,Warm,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Vacant Houses And Plots In Kisumu,,+254 710 243450,Opposite Joventure Hotel,5.0,3,Unknown,https://www.google.com/maps/place/Vacant+Houses+And+Plots+In+Kisumu/data=!4m7!3m6!1s0x182aa3c8503fe0e9:0x226f7f45acf18a0d!8m2!3d-0.0812318!4d34.7807248!16s%2Fg%2F11tdf6fgr6!19sChIJ6eA_UMijKhgRDYrxrEV_byI?authuser=0&hl=en&rclk=1,58,Warm,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Translakes Estate,,+254 706 328086,,3.9,113,No,https://www.google.com/maps/place/Translakes+Estate/data=!4m7!3m6!1s0x182aa3eb4dc0f64b:0xb119ec0894b49e54!8m2!3d-0.0756469!4d34.7908651!16s%2Fg%2F1z44r3ffg!19sChIJS_bATeujKhgRVJ60lAjsGbE?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Home for Sale,,+254 722 857831,WMMH+5FF,5.0,1,No,https://www.google.com/maps/place/Home+for+Sale/data=!4m7!3m6!1s0x184013f8b009bb35:0x660729d1c2a79de!8m2!3d-4.0670628!4d39.6786743!16s%2Fg%2F11gjn4gxgl!19sChIJNbsJsPgTQBgR3nkqHJ1yYAY?authuser=0&hl=en&rclk=1,53,Warm,social_media,no matching own-domain result in top results (checked 2x),Google Maps
"Philip's House, Polyview Estate Kisumu",,+254 721 931253,VQXC+JPH,4.0,37,No,"https://www.google.com/maps/place/Philip%27s+House,+Polyview+Estate+Kisumu/data=!4m7!3m6!1s0x182aa49d199d8461:0xd4fd81b52a69ab3f!8m2!3d-0.1009438!4d34.771873!16s%2Fg%2F11f0_bm115!19sChIJYYSdGZ2kKhgRP6tpKrWB_dQ?authuser=0&hl=en&rclk=1",53,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Kanyakwar Housing Project,,+254 710 278479,"WQGC+XXC, Pamba Road",4.2,30,No,https://www.google.com/maps/place/Kanyakwar+Housing+Project/data=!4m7!3m6!1s0x182aa4098c170ec5:0x9579ad5cb10c1684!8m2!3d-0.0725647!4d34.7724034!16s%2Fg%2F11bbt7lcv7!19sChIJxQ4XjAmkKhgRhBYMsVyteZU?authuser=0&hl=en&rclk=1,53,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Realtor Abu,,+254 742 725533,Posta,5.0,9,Unknown,https://www.google.com/maps/place/Realtor+Abu/data=!4m7!3m6!1s0x184009df5ac8078b:0x6a437663a0a2bf9a!8m2!3d-3.9514978!4d39.7454327!16s%2Fg%2F11zh63gsbr!19sChIJiwfIWt8JQBgRmr-ioGN2Q2o?authuser=0&hl=en&rclk=1,48,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Home Kwetu Accommodation; Kongoni Place,,+254 741 987666,Home Kwetu Accommodation; Kongoni Place,4.6,14,Unknown,https://www.google.com/maps/place/Home+Kwetu+Accommodation;+Kongoni+Place/data=!4m7!3m6!1s0x18401395d79b609d:0x2bcb827b6b8ddc25!8m2!3d-4.0520596!4d39.6869962!16s%2Fg%2F11qqqsm2my!19sChIJnWCb15UTQBgRJdyNa3uCyys?authuser=0&hl=en&rclk=1,48,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Lily nyasembo's Airbnb,,+254 724 744428,"kika hotel, Aga Khan Rd",4.8,12,Unknown,https://www.google.com/maps/place/Lily+nyasembo%27s+Airbnb/data=!4m7!3m6!1s0x182aa58ac0b5c957:0x666e3b3241a0e6a0!8m2!3d-0.1128054!4d34.7628644!16s%2Fg%2F11yhtwrrsf!19sChIJV8m1wIqlKhgRoOagQTI7bmY?authuser=0&hl=en&rclk=1,48,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
STAR COMPLEX,,+254 722 840975,Ramogi Rd,5.0,5,Unknown,https://www.google.com/maps/place/STAR+COMPLEX/data=!4m7!3m6!1s0x182aa5426fdac8f3:0x5f39c019a2d613e4!8m2!3d-0.0991664!4d34.7683923!16s%2Fg%2F11q8tjwz_v!19sChIJ88jab0KlKhgR5BPWohnAOV8?authuser=0&hl=en&rclk=1,48,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Idime Real Estate Ltd,,+254 710 823436,"Sterling Hse building, 2nd floor Moi Ave",4.2,11,Unknown,https://www.google.com/maps/place/Idime+Real+Estate+Ltd/data=!4m7!3m6!1s0x18401321e3c85ac9:0x95a38fff1851d96!8m2!3d-4.0611713!4d39.6618369!16s%2Fg%2F12hw4x5y8!19sChIJyVrI4yETQBgRlh2F8f84Wgk?authuser=0&hl=en&rclk=1,43,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
GraceLink Properties,,+254 727 875462,"NYALI CENTER 1ST FLR, LINKS RD NYALI",4.1,16,Unknown,https://www.google.com/maps/place/GraceLink+Properties/data=!4m7!3m6!1s0x184012f7d223f543:0x1506cc85f4b3d7d0!8m2!3d-4.048788!4d39.692547!16s%2Fg%2F11d_8c4tlq!19sChIJQ_Uj0vcSQBgR0Nez9IXMBhU?authuser=0&hl=en&rclk=1,43,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
CARINA IDEAL HOMES MOMBASA AND NAIROBI,,+254 700 452351,,4.2,5,Unknown,https://www.google.com/maps/place/CARINA+IDEAL+HOMES+MOMBASA+AND+NAIROBI/data=!4m7!3m6!1s0x18400d41e455ea31:0x974c65208e0c54f4!8m2!3d-3.9999232!4d39.7156197!16s%2Fg%2F11lcbfmkk7!19sChIJMepV5EENQBgR9FQMjiBlTJc?authuser=0&hl=en&rclk=1,43,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Mombasa Airbnb Nyali/Diani/Malindi/(Kenya),,+254 799 809638,,5.0,2,Unknown,https://www.google.com/maps/place/Mombasa+Airbnb+Nyali%2FDiani%2FMalindi%2F%28Kenya%29/data=!4m7!3m6!1s0x184013dfb65dafe7:0x8a1ad3c28a07569d!8m2!3d-4.0506255!4d39.6971841!16s%2Fg%2F11y_qklh19!19sChIJ569dtt8TQBgRnVYHisLTGoo?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Lefrancs Homes,,+254 710 999156,"Mombasa, Nyali",5.0,1,Unknown,https://www.google.com/maps/place/Lefrancs+Homes/data=!4m7!3m6!1s0x18400f1c01d45dbb:0x8c433edecc48fe7!8m2!3d-4.021923!4d39.725713!16s%2Fg%2F11g2xsv7s7!19sChIJu13UARwPQBgR54_E7O0zxAg?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
UDEL REAL ESTATE LTD,,+254 717 266919,Off Mahesh Doshi Road,5.0,1,Unknown,https://www.google.com/maps/place/UDEL+REAL+ESTATE+LTD/data=!4m7!3m6!1s0x18400df16b2f25e9:0x5460728c38c2bcff!8m2!3d-4.0097531!4d39.7238501!16s%2Fg%2F11hcw4ch4d!19sChIJ6SUva_ENQBgR_7zCOIxyYFQ?authuser=0&hl=en&rclk=1,38,Cold,none,search failed: Request timed out: ConnectTimeout('timed out') (checked 2x),Google Maps
Mwanasal vacay homes,,+254 727 379246,,5.0,3,Unknown,https://www.google.com/maps/place/Mwanasal+vacay+homes/data=!4m7!3m6!1s0x18400d79acf3ed0f:0xe7db17b19104b613!8m2!3d-4.0006585!4d39.706548!16s%2Fg%2F11t86ml4fy!19sChIJD-3zrHkNQBgRE7YEkbEX2-c?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
NorthCoast Homes Developers Limited,,+254 728 636550,Mama Ken House: Mombasa-Malindi Highway,5.0,3,Unknown,https://www.google.com/maps/place/NorthCoast+Homes+Developers+Limited/data=!4m7!3m6!1s0x1840097f3e5bee3d:0x2b3103935c5169bb!8m2!3d-3.9434294!4d39.7446964!16s%2Fg%2F11mvng4jsn!19sChIJPe5bPn8JQBgRu2lRXJMDMSs?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Bulimo Kisumu Nyumba Pap Real Estate company.,,+254 791 582961,"Carwash, migosi next to world vision",5.0,2,Unknown,https://www.google.com/maps/place/Bulimo+Kisumu+Nyumba+Pap+Real+Estate+company./data=!4m7!3m6!1s0x182aa364190bd031:0xf830a98746ef17ce!8m2!3d-0.0779172!4d34.7868273!16s%2Fg%2F11y_y1z_8t!19sChIJMdALGWSjKhgRzhfvRoepMPg?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Posh Prime Properties Limited,,+254 711 591692,"Along Oginga Odinga street,Centre Court building opposite Prime bank, 3rdfloor",5.0,3,Unknown,https://www.google.com/maps/place/Posh+Prime+Properties+Limited/data=!4m7!3m6!1s0x182aa57873f43d33:0x9db24bab1f26b5b1!8m2!3d-0.0996718!4d34.75066!16s%2Fg%2F11rsqpz7th!19sChIJMz30c3ilKhgRsbUmH6tLsp0?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Marwa executive Airbnb,,+254 796 526093,Makase housing by lapfund,5.0,1,Unknown,https://www.google.com/maps/place/Marwa+executive+Airbnb/data=!4m7!3m6!1s0x182aa5e59fb3881d:0x8e86682c89aedff2!8m2!3d-0.1042525!4d34.7698111!16s%2Fg%2F11zcv3j7np!19sChIJHYizn-WlKhgR8t-uiSxoho4?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Dee's Airbnb,,+254 720 814218,,5.0,2,Unknown,https://www.google.com/maps/place/Dee%27s+Airbnb/data=!4m7!3m6!1s0x182aa30017ed7757:0xe8f19a300638abc9!8m2!3d-0.0634875!4d34.7790781!16s%2Fg%2F11zdd2vyrg!19sChIJV3ftFwCjKhgRyas4BjCa8eg?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Msanii Hostel booking Agencies,,+254 794 340238,Maseno university,5.0,1,Unknown,https://www.google.com/maps/place/Msanii+Hostel+booking+Agencies/data=!4m7!3m6!1s0x182aa5fc773c5ab1:0x334e167b7c991528!8m2!3d-0.0917016!4d34.7679568!16s%2Fg%2F11nqzm7wnn!19sChIJsVo8d_ylKhgRKBWZfHsWTjM?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Makasembo 2 bedroomed Stay near Mega City Mall Kisumu – Kisumu,,+254 732 741827,"Ondiek Highway, Opposite Kisumu Day secondary",5.0,2,Unknown,https://www.google.com/maps/place/Makasembo+2+bedroomed+Stay+near+Mega+City+Mall+Kisumu+%E2%80%93+Kisumu/data=!4m7!3m6!1s0x182aa56851c0e8f7:0xbd13a8c2dd470862!8m2!3d-0.1022134!4d34.7684845!16s%2Fg%2F11z755kbzb!19sChIJ9-jAUWilKhgRYghH3cKoE70?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Arwaki Lakeside Homes,,+254 718 115037,,5.0,2,Unknown,https://www.google.com/maps/place/Arwaki+Lakeside+Homes/data=!4m7!3m6!1s0x182aa54fafac8bc1:0xbf194940f4f8dc0c!8m2!3d-0.1089191!4d34.7519019!16s%2Fg%2F11z7n3d5yf!19sChIJwYusr0-lKhgRDNz49EBJGb8?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Odongo Kabita & Co. Valuers,,+254 719 108267,"Kibabii Street, Kisumu",4.5,2,Unknown,https://www.google.com/maps/place/Odongo+Kabita+%26+Co.+Valuers/data=!4m7!3m6!1s0x182aa53f00733263:0x2a18557d9504ad86!8m2!3d-0.1036817!4d34.7560612!16s%2Fg%2F11lgczz3h2!19sChIJYzJzAD-lKhgRhq0ElX1VGCo?authuser=0&hl=en&rclk=1,38,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Eureka Homes Ltd,,+254 727 614313,"WMQC+PP4, G. P. O Mombasa Digo Rd",3.5,8,No,https://www.google.com/maps/place/Eureka+Homes+Ltd/data=!4m7!3m6!1s0x184013201838a285:0x5d73502963107477!8m2!3d-4.0607566!4d39.6718336!16s%2Fg%2F11h01mpgx!19sChIJhaI4GCATQBgRd3QQYylQc10?authuser=0&hl=en&rclk=1,33,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Arkaan Properties,,+254 718 763704,"Nkurumah Road ,SECURITY LN NSSF BLD,11TH FLOOR , SUITE NO 32",3.9,7,No,https://www.google.com/maps/place/Arkaan+Properties/data=!4m7!3m6!1s0x1840131f2f40f589:0x5c64bd67dd3aa479!8m2!3d-4.0636073!4d39.6733155!16s%2Fg%2F11b7q86w43!19sChIJifVALx8TQBgReaQ63We9ZFw?authuser=0&hl=en&rclk=1,33,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Tazama Real Estate Agents,,+254 700 303113,"XMFP+8JR, Barsheba, MSA, Old Malindi Rd",5.0,1,No,https://www.google.com/maps/place/Tazama+Real+Estate+Agents/data=!4m7!3m6!1s0x18400d7d8af09115:0xb5ad4be2c451a8cb!8m2!3d-4.0266413!4d39.6865094!16s%2Fg%2F1pycx2__3!19sChIJFZHwin0NQBgRy6hRxOJLrbU?authuser=0&hl=en&rclk=1,33,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Amo Properties,,+254 713 312828,"Opposite Salvation Army near Mewa Hospital, WMX7+454",2.4,7,Unknown,https://www.google.com/maps/place/Amo+Properties/data=!4m7!3m6!1s0x184012d00f24fb1d:0xe9d48a0215b4b19d!8m2!3d-4.0522478!4d39.6629471!16s%2Fg%2F11h031vsn!19sChIJHfskD9ASQBgRnbG0FQKK1Ok?authuser=0&hl=en&rclk=1,33,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Spectrum Homes,,+254 724 066947,"bustani close, Road",3.3,6,Unknown,https://www.google.com/maps/place/Spectrum+Homes/data=!4m7!3m6!1s0x18401272ad560bfd:0xffb5045f557774a5!8m2!3d-4.0327107!4d39.7136968!16s%2Fg%2F11gds3y0vc!19sChIJ_QtWrXISQBgRpXR3VV8Etf8?authuser=0&hl=en&rclk=1,33,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Juspur Properties,,+254 712 953391,123 Kizingo,5.0,1,No,https://www.google.com/maps/place/Juspur+Properties/data=!4m7!3m6!1s0x1840135e8bb60a91:0xb869b180f120fe4a!8m2!3d-4.0685047!4d39.6789977!16s%2Fg%2F11jncs2h3y!19sChIJkQq2i14TQBgRSv4g8YCxabg?authuser=0&hl=en&rclk=1,33,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Al Huda Enterprises Ltd,,+254 720 438806,Majengo Nyerere Ave Palli Hse,2.7,6,Unknown,https://www.google.com/maps/place/Al+Huda+Enterprises+Ltd/data=!4m7!3m6!1s0x1840138d3ea5e2ef:0xdb46c0f58c2997d5!8m2!3d-4.0652588!4d39.6709901!16s%2Fg%2F11hflhpdfn!19sChIJ7-KlPo0TQBgR1ZcpjPXARts?authuser=0&hl=en&rclk=1,33,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
NileOT Acres,,+254 727 142339,Off Aga Khan Road 9315 KE,4.3,3,Unknown,https://www.google.com/maps/place/NileOT+Acres/data=!4m7!3m6!1s0x182aa5130f25b3f7:0x1978032af00a2346!8m2!3d-0.1121714!4d34.7643196!16s%2Fg%2F11r_gpbylx!19sChIJ97MlDxOlKhgRRiMK8CoDeBk?authuser=0&hl=en&rclk=1,33,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
SWAYP MOMBASA,,+254 733 877089,"XPJF+2G6, 3rd Ave",4.0,4,No,https://www.google.com/maps/place/SWAYP+MOMBASA/data=!4m7!3m6!1s0x18400dc731f10db9:0x65208396b1ce659!8m2!3d-4.0199731!4d39.7237502!16s%2Fg%2F11vsd41fw6!19sChIJuQ3xMccNQBgRWeYcazkIUgY?authuser=0&hl=en&rclk=1,28,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Kisumu Real Estates,,+254 57 202778,1 Kibos Rd,4.0,1,No,https://www.google.com/maps/place/Kisumu+Real+Estates/data=!4m7!3m6!1s0x182aa388e53a7ec5:0x1c123ac1a80bb5e5!8m2!3d-0.0829652!4d34.7775944!16s%2Fg%2F1v387lqy!19sChIJxX465YijKhgR5bULqME6Ehw?authuser=0&hl=en&rclk=1,28,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Pambo Investment Auctioneers,,+254 721 544702,Tombo Estate Kisumu - Busia Rd,3.0,7,No,https://www.google.com/maps/place/Pambo+Investment+Auctioneers/data=!4m7!3m6!1s0x182aa445c451aef3:0xf2f1bb1aee3bfcf8!8m2!3d-0.0811874!4d34.7428306!16s%2Fg%2F1tht4066!19sChIJ865RxEWkKhgR-Pw77hq78fI?authuser=0&hl=en&rclk=1,28,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
KARMUSE APARTMENTS,,+254 723 275345,WQ6R+GQ6,4.0,1,No,https://www.google.com/maps/place/KARMUSE+APARTMENTS/data=!4m7!3m6!1s0x182aa300773d5ea7:0x4e21e04483b2a7fb!8m2!3d-0.0887167!4d34.79189!16s%2Fg%2F11yb_2pcrb!19sChIJp149dwCjKhgR-6eyg0TgIU4?authuser=0&hl=en&rclk=1,28,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
REAL SPACE HOMES - MAIN,,+254 732 888985,"WPGW+HWJ, Ken-Nyagudi Rd,",4.0,1,No,https://www.google.com/maps/place/REAL+SPACE+HOMES+WS/data=!4m7!3m6!1s0x182aa5b49041ab27:0x2b2ec1f329e2dde3!8m2!3d-0.0660698!4d34.7523707!16s%2Fg%2F11s_n9bfb7!19sChIJJ6tBkLSlKhgR493iKfPBLis?authuser=0&hl=en&rclk=1,28,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Odusi Consultants,,+254 721 519215,Kondele West Side Opposite Kasanova Hotel,3.7,3,Unknown,https://www.google.com/maps/place/Odusi+Consultants/data=!4m7!3m6!1s0x182aa38853d5a8c3:0x2261d33f308dba4a!8m2!3d-0.0826362!4d34.7749986!16s%2Fg%2F1q62gzpdn!19sChIJw6jVU4ijKhgRSrqNMD_TYSI?authuser=0&hl=en&rclk=1,28,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
Agape Management Agents,,+254 20 2040675,"KNA Bldg, Kondele, Kenyatta Ave Bank St",1.0,1,Unknown,https://www.google.com/maps/place/Agape+Management+Agents/data=!4m7!3m6!1s0x182aa5e913900737:0x267d4550aed2416c!8m2!3d-0.106654!4d34.752829!16s%2Fg%2F11j6b20_62!19sChIJNweQE-mlKhgRbEHSrlBFfSY?authuser=0&hl=en&rclk=1,23,Cold,none,no matching own-domain result in top results (checked 2x),Google Maps
