Niche,Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Nigeria Hair Salons,Taylors Touch Beauty Place in Aguda Surulere Lagos.,,+234 812 219 7273,"Bakery Bustop, 16 Olatunde Onimole St",4.9,107,Unknown,https://www.google.com/maps/place/Taylors+Touch+Beauty+Place+in+Aguda+Surulere+Lagos./data=!4m7!3m6!1s0x103b8d3170e38335:0x2268f2e5f5d4b97d!8m2!3d6.4921196!4d3.347428!16s%2Fg%2F11k3f1rss0!19sChIJNYPjcDGNOxARfbnU9eXyaCI?authuser=0&hl=en&rclk=1,93,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,Pescado Seafood Grills - Ajman,,+971 6 747 4313,,4.5,1253,Unknown,https://www.google.com/maps/place/Pescado+Seafood+Grills+-+Ajman/data=!4m7!3m6!1s0x3e5f59e23dab3c9b:0x6178b402ee54750a!8m2!3d25.4019157!4d55.4304511!16s%2Fg%2F11rj5nsppr!19sChIJmzyrPeJZXz4RCnVU7gK0eGE?authuser=0&hl=en&rclk=1,88,Hot,link_in_bio,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,KUY's Grill & Restaurant,,+966 58 240 6854,"6913 Ibn Al Qassab, 2449, 6966, Abu Bakr Alrazi St, 6966, As Sulimaniyah,2467",4.0,489,Unknown,https://www.google.com/maps/place/KUY%27s+Grill+%26+Restaurant/data=!4m7!3m6!1s0x3e2f0322e5244481:0xd24202bdb41d21c6!8m2!3d24.6921998!4d46.7035896!16s%2Fg%2F11tc7mk0bj!19sChIJgUQk5SIDLz4RxiEdtL0CQtI?authuser=0&hl=en&rclk=1,88,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Gulf Restaurants,مطعم في بيروت جدة | At Beirut Jeddah,,+966 50 054 7799,Al Batarji Branch,4.5,2143,Unknown,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%81%D9%8A+%D8%A8%D9%8A%D8%B1%D9%88%D8%AA+%D8%AC%D8%AF%D8%A9+%7C+At+Beirut+Jeddah%E2%80%AD/data=!4m7!3m6!1s0x15c3db007345e881:0xb8d6d3f6f22746d6!8m2!3d21.5974832!4d39.1297008!16s%2Fg%2F11wq7ntgp9!19sChIJgehFcwDbwxUR1kYn8vbT1rg?authuser=0&hl=en&rclk=1,88,Hot,link_in_bio,no matching own-domain result in top results (checked 2x),Google Maps
Nigeria Hair Salons,Hairbyfemi Lekki Lagos Hair studio,,+234 812 321 9500,"Centigrade Mall, Fola Osibo Rd",4.8,51,Unknown,https://www.google.com/maps/place/Hairbyfemi+Lekki+Lagos+Hair+studio/data=!4m7!3m6!1s0x103bf54ddee092e1:0xc40807ca667f94b2!8m2!3d6.442832!4d3.4653805!16s%2Fg%2F11qg9lz84g!19sChIJ4ZLg3k31OxARspR_ZsoHCMQ?authuser=0&hl=en&rclk=1,83,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Nigeria Hair Salons,Allsetgo Unisex Salon,,+234 907 595 3008,"3, CGMP+FXH, Lekki Penninsula II, Lagos 106104",4.8,22,Unknown,https://www.google.com/maps/place/Allsetgo+Unisex+Salon/data=!4m7!3m6!1s0x103bf7eb867286cb:0x47a58f174dda26af!8m2!3d6.4336875!4d3.5374375!16s%2Fg%2F11syrh6bdx!19sChIJy4Zyhuv3OxARrybaTRePpUc?authuser=0&hl=en&rclk=1,83,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Nigeria Hair Salons,Preshy beauty braids Abuja,,+234 707 333 8554,6 Lobito Cres,4.9,59,Unknown,https://www.google.com/maps/place/Preshy+beauty+braids+Abuja/data=!4m7!3m6!1s0x104e0b511bb81281:0x715f4f865f7e36bb!8m2!3d9.0719341!4d7.4897459!16s%2Fg%2F11ywt87mj1!19sChIJgRK4G1ELThARuzZ-X4ZPX3E?authuser=0&hl=en&rclk=1,83,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Nigeria Hair Salons,Tasha Beauty And Hair Salons.. Abuja nearby,,+234 903 322 3399,"Tasha Beauty and hair salon Cube Ameen plaza opposite barracuda, Adetokunbo Ademola Cres",4.9,22,Unknown,https://www.google.com/maps/place/Tasha+Beauty+And+Hair+Salons..+Abuja+nearby/data=!4m7!3m6!1s0x104e0b807e4786e9:0xcbcb665d6cc63429!8m2!3d9.0730978!4d7.4762645!16s%2Fg%2F11ymhxtb_4!19sChIJ6YZHfoALThARKTTGbF1my8s?authuser=0&hl=en&rclk=1,83,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Kenya Real Estate,Bamburi Beach Homes,,+254 733 982516,Malindi Rd,4.2,41,Unknown,https://www.google.com/maps/place/Bamburi+Beach+Homes/data=!4m7!3m6!1s0x18400e8189bfbc91:0x45f83c9dcbeb3642!8m2!3d-3.9877334!4d39.73612!16s%2Fg%2F1pxwhm291!19sChIJkby_iYEOQBgRQjbry508-EU?authuser=0&hl=en&rclk=1,78,Hot,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Comprehensive Dental & Implant Centre,,+91 80 4211 4432,"7, Cornwell Rd",4.9,241,Unknown,https://www.google.com/maps/place/Comprehensive+Dental+%26+Implant+Centre/data=!4m7!3m6!1s0x3bae15d718dcccfb:0x9b2df5b636681a42!8m2!3d12.9631416!4d77.5990422!16s%2Fg%2F11b6dnpv21!19sChIJ-8zcGNcVrjsRQhpoNrb1LZs?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Asian Dental Care,,+91 89717 63097,"18, Lady Curzon Rd, near Bowring Hospital Road",5.0,122,Unknown,https://www.google.com/maps/place/Asian+Dental+Care/data=!4m7!3m6!1s0x3bae17d91a84339b:0xf1dafd7fe14e0fc9!8m2!3d12.9807141!4d77.6039508!16s%2Fg%2F11j4xs8mpt!19sChIJmzOEGtkXrjsRyQ9O4X_92vE?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,devaki dental and oral health clinic,,+91 98459 13898,"627/1 2nd Main Road near Canara bank, Brazelhaus, 11th Cross Rd",4.9,505,Unknown,https://www.google.com/maps/place/devaki+dental+and+oral+health+clinic/data=!4m7!3m6!1s0x3bae17822ade322d:0x8073977b1f699aa9!8m2!3d12.9823467!4d77.6383965!16s%2Fg%2F1ptxqn888!19sChIJLTLeKoIXrjsRqZppH3uXc4A?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,I-Smile Dental & Aesthetic Care,,+91 88618 29655,"72, New Thippasandra Main Rd, near Durga Temple, above Apollo pharmacy",5.0,324,Unknown,https://www.google.com/maps/place/I-Smile+Dental+%26+Aesthetic+Care/data=!4m7!3m6!1s0x3bae114a0bcfa9cd:0x8aa16e255d5e79bf!8m2!3d12.9718861!4d77.6549754!16s%2Fg%2F11scs6vvdw!19sChIJzanPC0oRrjsRv3leXSVuoYo?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,"Dr. Chahal Aesthetic Clinic, Indiranagar |Dental Services|Botox & Fillers|PRP|Hair Transplant Centre|Skin Care Services",,+91 74834 63698,"The Life Plus Hospital, 266/C, 80 Feet Rd",5.0,350,Unknown,"https://www.google.com/maps/place/Dr.+Chahal+Aesthetic+Clinic,+Indiranagar+%7CDental+Services%7CBotox+%26+Fillers%7CPRP%7CHair+Transplant+Centre%7CSkin+Care+Services/data=!4m7!3m6!1s0x3bae174dc4341d7d:0xd866979e5f4a12f6!8m2!3d12.975598!4d77.6469534!16s%2Fg%2F11k6xyyvc4!19sChIJfR00xE0XrjsR9hJKX56XZtg?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Happy Teeth Happy Faces,,+91 92431 02024,"308, 2nd Main Rd",4.9,178,Unknown,https://www.google.com/maps/place/Happy+Teeth+Happy+Faces/data=!4m7!3m6!1s0x3bae141a7054e407:0xd5d720326116b983!8m2!3d12.9582551!4d77.6382099!16s%2Fg%2F1w6r6qgl!19sChIJB-RUcBoUrjsRg7kWYTIg19U?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Whitefield Dental Clinic,,+91 95917 68216,Immadihalli Main Rd,4.8,220,Unknown,https://www.google.com/maps/place/Whitefield+Dental+Clinic/data=!4m7!3m6!1s0x3bae0dba7577c871:0xe892840a9029b4a0!8m2!3d12.9699615!4d77.7666713!16s%2Fg%2F11t5m0b5sc!19sChIJcch3dboNrjsRoLQpkAqEkug?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Sweet Tooth Dental Clinic - Best Dental Clinic In Whitefield Bengaluru | Dentist in Whitefield Bengaluru ||,,+91 99872 58069,"Shop No.3, Buildwell Homes, Borewell Rd",5.0,163,Unknown,https://www.google.com/maps/place/Sweet+Tooth+Dental+Clinic+-+Best+Dental+Clinic+In+Whitefield+Bengaluru+%7C+Dentist+in+Whitefield+Bengaluru+%7C%7C/data=!4m7!3m6!1s0x3bae13d2fdd28995:0xa32424f217aee81d!8m2!3d12.9692242!4d77.7382963!16s%2Fg%2F11h4vn6bb9!19sChIJlYnS_dITrjsRHeiuF_IkJKM?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,White Cross Dental,,+91 95153 01603,"Shop:20, First Floor, Arya Hub, Whitefield",4.8,233,Unknown,https://www.google.com/maps/place/White+Cross+Dental/data=!4m7!3m6!1s0x3bae0e048936ef15:0x190d93b64ed34a66!8m2!3d12.9833914!4d77.7518672!16s%2Fg%2F11f2wll416!19sChIJFe82iQQOrjsRZkrTTraTDRk?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Dr. Batra Dental Care,,+91 90357 08131,Hagadur Main Rd,4.7,464,Unknown,https://www.google.com/maps/place/Dr.+Batra+Dental+Care/data=!4m7!3m6!1s0x3bae0d0243ec8dd9:0x3ef852c28244db49!8m2!3d12.9643932!4d77.754542!16s%2Fg%2F11ghf6yf2v!19sChIJ2Y3sQwINrjsRSdtEgsJS-D4?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,"I Smile Dental Care - Multispecialty dental clinic, Orthodontic & Implant Centre - Whitefield ( Dr JayachandraRaj's - br)",,+91 96115 40619,"1st floor, 2, Borewell Rd, above daba square restaurant, behind Ambedkar Circle",4.8,243,Unknown,"https://www.google.com/maps/place/I+Smile+Dental+Care+-+Multispecialty+dental+clinic,+Orthodontic+%26+Implant+Centre+-+Whitefield+%28+Dr+JayachandraRaj%27s+-+br%29/data=!4m7!3m6!1s0x3bae120369771641:0xf026d294fc344cbc!8m2!3d12.9693365!4d77.7353296!16s%2Fg%2F11c2ppgxzr!19sChIJQRZ3aQMSrjsRvEw0_JTSJvA?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Dr. Shukla's Dental Clinic,,+91 90878 87872,"1st Floor, Shop No-3 Aishwarya Complex, Nagondnahalli Main Road, post, near Shivakuntamma Temple",5.0,184,Unknown,https://www.google.com/maps/place/Dr.+Shukla%27s+Dental+Clinic/data=!4m7!3m6!1s0x3bae0fbe0b9e1063:0x44a4645b906117c!8m2!3d12.9757789!4d77.7613987!16s%2Fg%2F11t5sxdfv1!19sChIJYxCeC74PrjsRfBEGuUVGSgQ?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Dental Health Clinic,,+91 98451 01056,"150, 5th Cross, Opposite Dhanalaxmi Bank, KHB Colony, 60 Feet Rd, next to Juice Junction",4.6,133,Unknown,https://www.google.com/maps/place/Dental+Health+Clinic/data=!4m7!3m6!1s0x3bae14457272fd59:0xa78c0985308dff1b!8m2!3d12.9366162!4d77.620274!16s%2Fg%2F1tdcvjzl!19sChIJWf1yckUUrjsRG_-NMIUJjKc?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,"Smile Center Multispeciality Dental Clinic, Koramangala",,+91 80 4991 2754,"104,First Floor, Raheja Arcade, near Nexus Mall",5.0,119,Unknown,"https://www.google.com/maps/place/Smile+Center+Multispeciality+Dental+Clinic,+Koramangala/data=!4m7!3m6!1s0x3bae144dfe240675:0xa6d98a162da6242f!8m2!3d12.9344613!4d77.6134262!16s%2Fg%2F12ltkgh16!19sChIJdQYk_k0UrjsRLySmLRaK2aY?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Gia Dental Care,,+91 93809 28080,"Ground Floor, 347, 1st C Main Rd, near Lavish Pharmacy",5.0,147,Unknown,https://www.google.com/maps/place/Gia+Dental+Care/data=!4m7!3m6!1s0x3bae159e9ca7dcc9:0x4bfc0b776f5a206e!8m2!3d12.9409488!4d77.6175985!16s%2Fg%2F11l5hjp7qz!19sChIJydynnJ4VrjsRbiBab3cL_Es?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,"Dr Sudheer's COSMODENT DENTAL HUB, ORTHODONTIC, ALIGNER AND IMPLANT CENTER",,+91 98450 02862,"1st Main, #1007,1st Floor ,1st Cross, Mahatyagi Laksmidevi Rd",4.9,157,Unknown,"https://www.google.com/maps/place/Dr+Sudheer%27s+COSMODENT+DENTAL+HUB,+ORTHODONTIC,+ALIGNER+AND+IMPLANT+CENTER/data=!4m7!3m6!1s0x3bae1467281ef131:0xf90ab40ee4c7ac98!8m2!3d12.9300368!4d77.6335179!16s%2Fg%2F1tfkzmzz!19sChIJMfEeKGcUrjsRmKzH5A60Cvk?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,Dr. Chahal Aesthetic Clinic,,+91 63666 46777,"Bus stop, # 47, Lakshmi Venkateshwara Road, Nanjappa Reddy Layout, opposite Regional Passport Office",4.8,1133,Unknown,https://www.google.com/maps/place/Dr.+Chahal+Aesthetic+Clinic/data=!4m7!3m6!1s0x3bae14480bd8567f:0xdb713d7a4b596cac!8m2!3d12.9446935!4d77.6189925!16s%2Fg%2F11bt_j1grk!19sChIJf1bYC0gUrjsRrGxZS3o9cds?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Bangalore Dental Clinics,csk speciality dental clinic chennai /karaikudi,,+91 98843 50036,"18, Mariamman Kovil St, near Vani vidhyalaya school",4.9,297,Unknown,https://www.google.com/maps/place/csk+speciality+dental+clinic+chennai+%2Fkaraikudi/data=!4m7!3m6!1s0x3a5266d30f7a6c85:0xbaede13d4fcbb14b!8m2!3d13.039934!4d80.1905504!16s%2Fg%2F11c3l97mnt!19sChIJhWx6D9NmUjoRS7HLTz3h7bo?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Swarnabhoomi Resorts Bangalore,,+91 63641 57878,,4.5,153,Unknown,https://www.google.com/maps/place/Swarnabhoomi+Resorts+Bangalore/data=!4m10!3m9!1s0x3bae47086e1eccdb:0x186f782657d0ca94!5m2!4m1!1i2!8m2!3d12.8481626!4d77.6927813!16s%2Fg%2F11g1rm1jvp!19sChIJ28webghHrjsRlMrQVyZ4bxg?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Coorg Relax Home (ಕೂರ್ಗ್ ರಿಲಾಕ್ಸ್ ಹೋಂ),,+91 94497 59029,,4.5,251,Unknown,https://www.google.com/maps/place/Coorg+Relax+Home+%28%E0%B2%95%E0%B3%82%E0%B2%B0%E0%B3%8D%E0%B2%97%E0%B3%8D+%E0%B2%B0%E0%B2%BF%E0%B2%B2%E0%B2%BE%E0%B2%95%E0%B3%8D%E0%B2%B8%E0%B3%8D+%E0%B2%B9%E0%B3%8B%E0%B2%82%29/data=!4m10!3m9!1s0x3ba5aabad7cee171:0x3971b0689bc84831!5m2!4m1!1i2!8m2!3d12.4112777!4d75.7283667!16s%2Fg%2F11dzdh3d1s!19sChIJceHO17qqpTsRMUjIm2iwcTk?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Creekside Cabin,,+91 94484 22512,,4.6,264,Unknown,https://www.google.com/maps/place/Creekside+Cabin/data=!4m10!3m9!1s0x3ba4ffdadd8750c1:0xdbcf61b3f2bfb5b9!5m2!4m1!1i2!8m2!3d12.452937!4d75.7029647!16s%2Fg%2F11f3cy913g!19sChIJwVCH3dr_pDsRubW_8rNhz9s?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Kamadhenu Residency Home stay. Madikeri Coorg,,+91 70191 67892,,4.8,102,Unknown,https://www.google.com/maps/place/Kamadhenu+Residency+Home+stay.+Madikeri+Coorg/data=!4m10!3m9!1s0x3ba5abbfd2c62dc9:0x8b1eac0c87167468!5m2!4m1!1i2!8m2!3d12.4191974!4d75.7386211!16s%2Fg%2F11t1f5tvhr!19sChIJyS3G0r-rpTsRaHQWhwysHos?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Notting Hill,,+91 99400 52900,,4.6,174,Unknown,https://www.google.com/maps/place/Notting+Hill/data=!4m10!3m9!1s0x3ba5aaa13e979f71:0x35364a212b23714!5m2!4m1!1i2!8m2!3d12.4189259!4d75.7323666!16s%2Fg%2F11cnbx2gx0!19sChIJcZ-XPqGqpTsRFDeyEqJkUwM?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Bee hive homestay,,+91 95358 99537,,4.7,138,Unknown,https://www.google.com/maps/place/Bee+hive+homestay/data=!4m10!3m9!1s0x3ba5000f85c2e7cd:0x83f3797a263ee227!5m2!4m1!1i2!8m2!3d12.4313618!4d75.7262712!16s%2Fg%2F11dxkw8lz_!19sChIJzefChQ8ApTsRJ-I-Jnp584M?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Roy's Castle Coorg Homestay,,+91 94486 47198,,4.6,175,Unknown,https://www.google.com/maps/place/Roy%27s+Castle+Coorg+Homestay/data=!4m10!3m9!1s0x3ba50124f1d40db5:0x7b12ca25182f5fb9!5m2!4m1!1i2!8m2!3d12.442265!4d75.7568715!16s%2Fg%2F11fqsw03zy!19sChIJtQ3U8SQBpTsRuV8vGCXKEns?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Dream house home stay,,+91 94838 74701,,4.6,175,Unknown,https://www.google.com/maps/place/Dream+house+home+stay/data=!4m10!3m9!1s0x3ba50076e76a1621:0x1b120c6ca34146d8!5m2!4m1!1i2!8m2!3d12.4112997!4d75.7223248!16s%2Fg%2F11d_71001g!19sChIJIRZq53YApTsR2EZBo2wMEhs?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Chirpy Haven,,+91 98801 46792,,4.7,166,Unknown,https://www.google.com/maps/place/Chirpy+Haven/data=!4m10!3m9!1s0x3ba5aa84d8e3808f:0xc5e49ef02fef0216!5m2!4m1!1i2!8m2!3d12.415588!4d75.7497069!16s%2Fg%2F11bvv5g6tq!19sChIJj4Dj2ISqpTsRFgLvL_Ce5MU?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Karkera Comforts Coorg,,+91 98341 43351,,4.7,103,Unknown,https://www.google.com/maps/place/Karkera+Comforts+Coorg/data=!4m10!3m9!1s0x3ba5000efc608217:0x6e1661087cd3c234!5m2!4m1!1i2!8m2!3d12.4305357!4d75.728726!16s%2Fg%2F11f4wt9v06!19sChIJF4Jg_A4ApTsRNMLTfAhhFm4?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Eshwari inn Homestay,,+91 94483 25743,,4.7,228,Unknown,https://www.google.com/maps/place/Eshwari+inn+Homestay/data=!4m10!3m9!1s0x3ba50075f66c666d:0x416003088dfede69!5m2!4m1!1i2!8m2!3d12.4236148!4d75.7419405!16s%2Fg%2F11bx55ktmy!19sChIJbWZs9nUApTsRad7-jQgDYEE?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Coorg/Wayanad/Ooty Resorts,Wayanad Home Stay,,+91 79758 40830,,4.7,108,Unknown,https://www.google.com/maps/place/Wayanad+Home+Stay/data=!4m10!3m9!1s0x3ba60b59cbed05cd:0x93598e64d398839e!5m2!4m1!1i2!8m2!3d11.6781041!4d76.0868347!16s%2Fg%2F11qshlkm54!19sChIJzQXty1kLpjsRnoOY02SOWZM?authuser=0&hl=en&rclk=1,73,Hot,none,no comparable tokens in name,Google Maps
