Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
J—braids … Abuja salon,,+234 916 014 0459,4 Lobito Cres,4.9,152,Unknown,https://www.google.com/maps/place/J%E2%80%94braids+%E2%80%A6+Abuja+salon/data=!4m7!3m6!1s0x104e0b1796778ab3:0xf3493776241c3305!8m2!3d9.0721112!4d7.4900147!16s%2Fg%2F11svk33xhz!19sChIJs4p3lhcLThARBTMcJHY3SfM?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Lauvee Beauty Salon Abuja,,+234 915 360 7927,"Phil Gal Empire, Freetown St",4.5,118,Unknown,https://www.google.com/maps/place/Lauvee+Beauty+Salon+Abuja/data=!4m7!3m6!1s0x104e0b8500ea3089:0x44e92a8e001ec6e1!8m2!3d9.0724913!4d7.4891943!16s%2Fg%2F11s1tcwjl2!19sChIJiTDqAIULThAR4cYeAI4q6UQ?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Make Me Beauty Place,,+234 707 109 5500,44 Bode Thomas St,4.3,620,Unknown,https://www.google.com/maps/place/Make+Me+Beauty+Place/data=!4m7!3m6!1s0x103b8c0dcc100373:0xa62fb97825b81bc9!8m2!3d6.4893485!4d3.3526765!16s%2Fg%2F1q5blljwh!19sChIJcwMQzA2MOxARyRu4JXi5L6Y?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Tunmise Natural Hair salon,,+234 806 547 1986,9b Ilorin St,4.0,179,Unknown,https://www.google.com/maps/place/Tunmise+Natural+Hair+salon/data=!4m7!3m6!1s0x103b8c1437be057d:0xf49d91b94d9edaa4!8m2!3d6.4978532!4d3.3486719!16s%2Fg%2F11f00hk38h!19sChIJfQW-NxSMOxARpNqeTbmRnfQ?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
The Triplet’s Studio,,+234 915 100 0030,7 Niyi Okunubi St,4.4,181,Unknown,https://www.google.com/maps/place/The+Triplet%E2%80%99s+Studio/data=!4m7!3m6!1s0x103bf5a5969e4ef9:0x29c4d8af71b6761a!8m2!3d6.4389096!4d3.4577929!16s%2Fg%2F11lgm4j_nb!19sChIJ-U6elqX1OxARGna2ca_YxCk?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Yellow Sisi Salon,,+234 818 222 2204,2c Bashorun R.I. Okusanya Ave,4.4,242,Unknown,https://www.google.com/maps/place/Yellow+Sisi+Salon/data=!4m7!3m6!1s0x103bf44f9f2aba7b:0xa21fd500736a52e8!8m2!3d6.4490479!4d3.4752566!16s%2Fg%2F11c6vl0hpd!19sChIJe7oqn0_0OxAR6FJqcwDVH6I?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Next Barbing Salon,,+234 803 329 4940,6 Alh. Oluwakemi St,4.3,172,Unknown,https://www.google.com/maps/place/Next+Barbing+Salon/data=!4m7!3m6!1s0x103b8d85e5e0181b:0xb73d1a9510754810!8m2!3d6.5614039!4d3.3694974!16s%2Fg%2F1q67cl41j!19sChIJGxjg5YWNOxAREEh1EJUaPbc?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Avenue21 Beauty Salon & Spa,,+234 806 879 6071,"6C Birao St, off Yalinga Street",4.2,241,Unknown,https://www.google.com/maps/place/Avenue21+Beauty+Salon+%26+Spa/data=!4m7!3m6!1s0x104e0b00037d5093:0xef220676195d4edb!8m2!3d9.0709567!4d7.4787427!16s%2Fg%2F11gbkwjbn7!19sChIJk1B9AwALThAR205dGXYGIu8?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
HAIR DISTRICT BEAUTY SALON & SPA ABUJA,,+234 701 142 2358,"Hair District Beauty Salon & Spa, Plot 1248 Aminu Kano Cres",4.5,13,Unknown,https://www.google.com/maps/place/HAIR+DISTRICT+BEAUTY+SALON+%26+SPA+ABUJA/data=!4m7!3m6!1s0x104e0b50bda63405:0xfa13154a7234918f!8m2!3d9.0726308!4d7.4701869!16s%2Fg%2F11wtqxh3rb!19sChIJBTSmvVALThARj5E0ckoVE_o?authuser=0&hl=en&rclk=1,68,Warm,social_media,no matching own-domain result in top results (checked 2x),Google Maps
Tash Place,,+234 803 466 6768,"Tash Place, TYTO Pagoda Mall 31B Admiralty Way opposite Brasas's Place Lekki Phase 1",4.5,46,Unknown,https://www.google.com/maps/place/Tash+Place/data=!4m7!3m6!1s0x103b930ed38703f7:0xa0bbd08fe0269561!8m2!3d6.4482167!4d3.4718805!16s%2Fg%2F11f317gy9q!19sChIJ9wOH0w6TOxARYZUm4I_Qu6A?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
RARA UNISEX SALON,,+234 802 286 1110,"Shop A2 POLYSONIC MALL, Point Rd",4.9,41,Unknown,https://www.google.com/maps/place/RARA+UNISEX+SALON/data=!4m7!3m6!1s0x103b8bc9a348d9d1:0xd1cdb0fca7dd2bbd!8m2!3d6.4501876!4d3.3634642!16s%2Fg%2F11n_w_gmp8!19sChIJ0dlIo8mLOxARvSvdp_ywzdE?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Fasha Lagos,,+234 913 500 2555,11 Aliu Animashaun Ave,4.8,85,Unknown,https://www.google.com/maps/place/Fasha+Lagos/data=!4m7!3m6!1s0x103bf5fb7d0d5c59:0x44271f803a456baf!8m2!3d6.4340921!4d3.4604434!16s%2Fg%2F11vjhn3dtj!19sChIJWVwNffv1OxARr2tFOoAfJ0Q?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Precious beauty and salon international,,+234 806 732 1057,1&2 Igando Rd,4.7,43,Unknown,https://www.google.com/maps/place/Precious+beauty+and+salon+international/data=!4m7!3m6!1s0x103b8f487e385d25:0x79f777ccaf2dcce0!8m2!3d6.5464242!4d3.2656412!16s%2Fg%2F11fmlkzjmg!19sChIJJV04fkiPOxAR4Mwtr8x393k?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
"Doramelia Naturals, Natural Hair Salon, Chevron, Lekki - Salon, Wigs, Weaves, Hair products",,+234 806 293 6738,"Buckingham Court 5, Alternative Road, off Chevron Drive",4.9,30,Unknown,"https://www.google.com/maps/place/Doramelia+Naturals,+Natural+Hair+Salon,+Chevron,+Lekki+-+Salon,+Wigs,+Weaves,+Hair+products/data=!4m7!3m6!1s0x103bf73f24c2404b:0x4970732fd3fd1b3f!8m2!3d6.4478401!4d3.535425!16s%2Fg%2F11k4vd7wld!19sChIJS0DCJD_3OxARPxv90y9zcEk?authuser=0&hl=en&rclk=1",63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Boltimax Beauty Salon,,+234 704 818 5141,Plot 65b Fola Osibo Rd,4.5,46,Unknown,https://www.google.com/maps/place/Boltimax+Beauty+Salon/data=!4m7!3m6!1s0x46dc7d3196774ba3:0xeb08b7017529859e!8m2!3d6.4426766!4d3.4700098!16s%2Fg%2F11td3ltb_b!19sChIJo0t3ljF93EYRnoUpdQG3COs?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Studio M,,+234 818 654 3437,54B Itafaji Rd,4.9,66,Unknown,https://www.google.com/maps/place/Studio+M/data=!4m7!3m6!1s0x103b8b53fa15d463:0xf4846188d0a67817!8m2!3d6.4579105!4d3.4131741!16s%2Fg%2F11hmy3r2yv!19sChIJY9QV-lOLOxARF3im0IhhhPQ?authuser=0&hl=en&rclk=1,63,Warm,none,no comparable tokens in name,Google Maps
The Essence beauty salon and spa,,+234 913 999 6418,"CGJV+V69, Oba Akinloye Dr",4.9,23,Unknown,https://www.google.com/maps/place/The+Essence+beauty+salon+and+spa/data=!4m7!3m6!1s0x103bf7006986efd9:0x16fd668ab9f1547d!8m2!3d6.4321583!4d3.5431535!16s%2Fg%2F11wjdtk55p!19sChIJ2e-GaQD3OxARfVTxuYpm_RY?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Experience Tolu Bobby,,+234 802 815 8413,"9 Ayodele Okeowo Street by Deeperlife Church, Ifako",4.7,49,Unknown,https://www.google.com/maps/place/Experience+Tolu+Bobby/data=!4m7!3m6!1s0x103bf5f52dd11971:0xe2e24323559d2583!8m2!3d6.5557048!4d3.3870818!16s%2Fg%2F11stg0m3nt!19sChIJcRnRLfX1OxARgyWdVSND4uI?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
LA FINURA SALON,,+234 815 461 3990,156 Ogunlana Dr,4.9,35,Unknown,https://www.google.com/maps/place/LA+FINURA+SALON/data=!4m7!3m6!1s0x103b8d646199ef43:0xac0981262052a8a7!8m2!3d6.5031944!4d3.351165!16s%2Fg%2F11l2lktm78!19sChIJQ--ZYWSNOxARp6hSICaBCaw?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Martinbis Hair Salon,,+234 802 120 5948,40 Ogudu Rd,5.0,53,Unknown,https://www.google.com/maps/place/Martinbis+Hair+Salon/data=!4m7!3m6!1s0x103b93fd4419df99:0xaeea086f2e17f45c!8m2!3d6.5870374!4d3.3823956!16s%2Fg%2F11mr_k492q!19sChIJmd8ZRP2TOxARXPQXLm8I6q4?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
MIDEDREADS SALON,,+234 906 670 8063,"17 Davies Cres, Igbogbo Rd",4.8,78,Unknown,https://www.google.com/maps/place/MIDEDREADS+SALON/data=!4m7!3m6!1s0x103b94759a725933:0x6e0ba69ff599f1b0!8m2!3d6.6004048!4d3.4943046!16s%2Fg%2F11c1ww5xb_!19sChIJM1lymnWUOxARsPGZ9Z-mC24?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Ujinni's Hair Clinique,,+234 802 700 3528,9 Adeyemi Odukomaya St,4.5,97,Unknown,https://www.google.com/maps/place/Ujinni%27s+Hair+Clinique/data=!4m7!3m6!1s0x103b9255459965c3:0xb465bb4316b9693f!8m2!3d6.6133871!4d3.3733867!16s%2Fg%2F11c27csbcz!19sChIJw2WZRVWSOxARP2m5FkO7ZbQ?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
B salon unisex hair & beauty salon,,+234 708 112 1830,"2, 4 Adeola Odeku St",4.7,25,Unknown,https://www.google.com/maps/place/B+salon+unisex+hair+%26+beauty+salon/data=!4m7!3m6!1s0x103b8bccc7ed45fb:0xf7fe3f484f7ecc46!8m2!3d6.4296783!4d3.4094699!16s%2Fg%2F11t6t_22_d!19sChIJ-0Xtx8yLOxARRsx-T0g__vc?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Fadi Hair Saloon for Men,,+234 802 212 5500,231 Muri Okunola St,4.8,78,Unknown,https://www.google.com/maps/place/Fadi+Hair+Saloon+for+Men/data=!4m7!3m6!1s0x103bf52d6783347b:0x1be315a0bde24bc2!8m2!3d6.4324551!4d3.4371205!16s%2Fg%2F11gc8gvhjv!19sChIJezSDZy31OxARwkvivaAV4xs?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
A107 Unisex Salon,,+234 806 148 2804,16 Adeola Hopewell St,4.9,71,Unknown,https://www.google.com/maps/place/A107+Unisex+Salon/data=!4m7!3m6!1s0x103bf5ee7221423b:0x4cb7251d08daa8ff!8m2!3d6.4338812!4d3.4296643!16s%2Fg%2F11tp955xqv!19sChIJO0Ihcu71OxAR_6jaCB0lt0w?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
D Precious Touch Hair and Beauty Salon,,+234 703 289 2126,"Agungi, 13, Agungi Ajiran Road lekki, 2 Lekki - Epe Expy",5.0,22,Unknown,https://www.google.com/maps/place/D+Precious+Touch+Hair+and+Beauty+Salon/data=!4m7!3m6!1s0x103bf7c30d230021:0x7260cfd435ab6812!8m2!3d6.441287!4d3.5161034!16s%2Fg%2F11htn1fyr6!19sChIJIQAjDcP3OxAREmirNdTPYHI?authuser=0&hl=en&rclk=1,63,Warm,none,search failed: ConnectError: ConnectError('error sending request for url (https://www.startpage.com/) > client error (Connect) > tcp connect error > Connection refused (os error 111)') (checked 2x),Google Maps
Hair force beauty salons... Abuja Near by,,+234 803 303 5941,5 Lobito Cres,5.0,69,Unknown,https://www.google.com/maps/place/Hair+force+beauty+salons...+Abuja+Near+by/data=!4m7!3m6!1s0x104e0b3199d31ed1:0x40d2df781417933e!8m2!3d9.0718608!4d7.4900163!16s%2Fg%2F11l5hbm4tc!19sChIJ0R7TmTELThARPpMXFHjf0kA?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Nakia Beauty Bar| Abuja Salon,,+234 810 783 4886,46 Kumasi Cres,4.8,84,Unknown,https://www.google.com/maps/place/Nakia+Beauty+Bar%7C+Abuja+Salon/data=!4m7!3m6!1s0x104e0b4444bdc041:0xc12098cdbafbea4d!8m2!3d9.08018!4d7.4777169!16s%2Fg%2F11t73j3xnq!19sChIJQcC9REQLThARTer7us2YIME?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Ech Beauty Salon in Abuja,,+234 707 778 6937,"291 Enugu St, off Lagos Crescent",5.0,50,Unknown,https://www.google.com/maps/place/Ech+Beauty+Salon+in+Abuja/data=!4m7!3m6!1s0x104e0b86e68d2a39:0x659a5898806cb8f7!8m2!3d9.0235361!4d7.4879599!16s%2Fg%2F11s5tv1c66!19sChIJOSqN5oYLThAR97hsgJhYmmU?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Uchis Beauty Lounge,,+234 905 551 1127,"1 Moundou St, off Dakala Street",4.6,46,Unknown,https://www.google.com/maps/place/Uchis+Beauty+Lounge/data=!4m7!3m6!1s0x104e0b148afac195:0xeaec2d63a539c703!8m2!3d9.080271!4d7.465471!16s%2Fg%2F11qnhbsc29!19sChIJlcH6ihQLThARA8c5pWMt7Oo?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Zoo Bangs Limited,,+234 806 362 1019,110 Adetokunbo Ademola Cres,4.4,149,No,https://www.google.com/maps/place/Zoo+Bangs+Limited/data=!4m7!3m6!1s0x104e0b7e6699f031:0x6e31609452a53636!8m2!3d9.0733551!4d7.4761021!16s%2Fg%2F11h22jdxbx!19sChIJMfCZZn4LThARNjalUpRgMW4?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
ignite beauty & luxury salon,,+234 814 547 6494,"16 Oyekan Rd, off Ogunlana Drive",4.3,24,Unknown,https://www.google.com/maps/place/ignite+beauty+%26+luxury+salon/data=!4m7!3m6!1s0x103b8de9a9817083:0x495668201caacff1!8m2!3d6.5050189!4d3.3524681!16s%2Fg%2F11h3v8snpd!19sChIJg3CBqemNOxAR8c-qHCBoVkk?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Atmosphair Salon And Spa,,+234 808 661 0855,"147B Ogunlana Drive, Alh. Masha Rd, beside GTbank",4.2,74,Unknown,https://www.google.com/maps/place/Atmosphair+Salon+And+Spa/data=!4m7!3m6!1s0x103b8c14b0bbae49:0x1479fec6c73c4d07!8m2!3d6.5017321!4d3.3514584!16s%2Fg%2F11c5szyzgx!19sChIJSa67sBSMOxARB008x8b-eRQ?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Next Barbing & Beauty Salon,,+234 803 329 4940,44 Fola Osibo Rd,4.2,94,Unknown,https://www.google.com/maps/place/Next+Barbing+%26+Beauty+Salon/data=!4m7!3m6!1s0x103bf45275e901f5:0x53999e8a50bb9ea5!8m2!3d6.4424295!4d3.4707895!16s%2Fg%2F11gd9p21bf!19sChIJ9QHpdVL0OxARpZ67UIqemVM?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
HAIRCENTRIC SALON N SPA,,+234 817 459 3245,"Plot 17, Block 142, Olowo-Eko Close, Jose Maria Escriva Estate",4.4,28,Unknown,https://www.google.com/maps/place/HAIRCENTRIC+SALON+N+SPA/data=!4m7!3m6!1s0x103bf500163366fd:0x31bb6e111e71a9c0!8m2!3d6.4262491!4d3.4797938!16s%2Fg%2F11gy1fwhsx!19sChIJ_WYzFgD1OxARwKlxHhFuuzE?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Clippherz Barbershop | Barbing Salon,,+234 802 988 9656,5 University Road Akoka,4.4,95,Unknown,https://www.google.com/maps/place/Clippherz+Barbershop+%7C+Barbing+Salon/data=!4m7!3m6!1s0x103b8dfc803f2a31:0xbd55d34cf954c153!8m2!3d6.5171668!4d3.3818061!16s%2Fg%2F11h55nv0qr!19sChIJMSo_gPyNOxARU8FU-UzTVb0?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Seasons Hair & Beauty Studio,,+234 814 000 0104,"SEASONS SALON, 4 Prince Alaba Abiodun Oniru Rd, Oniru Rd",4.3,27,Unknown,https://www.google.com/maps/place/Seasons+Hair+%26+Beauty+Studio/data=!4m7!3m6!1s0x103bf5194edc7fff:0x22489e65fb865417!8m2!3d6.4327485!4d3.4431152!16s%2Fg%2F11byyk85db!19sChIJ_3_cThn1OxARF1SG-2WeSCI?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
