Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL
Casa Lake View Resort Wayanad,,097452 96202,,4.6,1032,Unknown,https://www.google.com/maps/place/Casa+Lake+View+Resort+Wayanad/data=!4m10!3m9!1s0x3ba60d49296a2ea1:0x899fab7548d08280!5m2!4m1!1i2!8m2!3d11.5994743!4d76.158518!16s%2Fg%2F11h1dgnnr9!19sChIJoS5qKUkNpjsRgILQSHWrn4k?authuser=0&hl=en&rclk=1,https://casalakeview.com/
Adithya Nature Resort & Spa,,090724 63333,,4.0,2598,Unknown,https://www.google.com/maps/place/Adithya+Nature+Resort+%26+Spa/data=!4m10!3m9!1s0x3ba66d87150b2eb7:0x22e1598cc273ff20!5m2!4m1!1i2!8m2!3d11.5622589!4d76.0274979!16s%2Fg%2F11fxzyzpy1!19sChIJty4LFYdtpjsRIP9zwoxZ4SI?authuser=0&hl=en&rclk=1,http://www.adithyanatureresort.com/
Karapuzha Village Resort,,095262 62299,,4.3,2132,Unknown,https://www.google.com/maps/place/Karapuzha+Village+Resort/data=!4m10!3m9!1s0x3ba60c3a18a1507f:0x281ed0f921d92654!5m2!4m1!1i2!8m2!3d11.6106926!4d76.1614026!16s%2Fg%2F1hm29dpq6!19sChIJf1ChGDoMpjsRVCbZIfnQHig?authuser=0&hl=en&rclk=1,http://www.karapuzhavillageresort.com/
Zostel Plus Wayanad,,044 4011 5839,,4.6,2159,Unknown,https://www.google.com/maps/place/Zostel+Plus+Wayanad/data=!4m10!3m9!1s0x3ba60d289d146fb5:0x841ea3a82c1c7ec5!5m2!4m1!1i2!8m2!3d11.5521715!4d76.10446!16s%2Fg%2F11h0ms5t8b!19sChIJtW8UnSgNpjsRxX4cLKijHoQ?authuser=0&hl=en&rclk=1,https://www.zostel.com/zostel/wayanad/wayanad-wynh151/
Bonita Banasura,,099614 00100,,4.3,567,Unknown,https://www.google.com/maps/place/Bonita+Banasura/data=!4m10!3m9!1s0x3ba677a1e5355401:0x636e96ab448a81ed!5m2!4m1!1i2!8m2!3d11.6736883!4d75.9444825!16s%2Fg%2F11hy9hnfdz!19sChIJAVQ15aF3pjsR7YGKRKuWbmM?authuser=0&hl=en&rclk=1,http://www.bonitabanasura.in/
Bay View Suites Vythiri,,079092 27733,,4.7,538,Unknown,https://www.google.com/maps/place/Bay+View+Suites+Vythiri/data=!4m10!3m9!1s0x3ba673c7d7997005:0x3852ea7adedda7d0!5m2!4m1!1i2!8m2!3d11.5592332!4d76.0370827!16s%2Fg%2F11y2jft2cv!19sChIJBXCZ18dzpjsR0Kfd3nrqUjg?authuser=0&hl=en&rclk=1,https://www.bayviewsuites.in/
Arayal Resorts,,075608 60015,,4.5,1709,No,https://www.google.com/maps/place/Arayal+Resorts/data=!4m10!3m9!1s0x3ba676c781b37a47:0x1ce664f8a240f9e5!5m2!4m1!1i2!8m2!3d11.646699!4d75.9693261!16s%2Fg%2F1hd_8_h8m!19sChIJR3qzgcd2pjsR5flAovhk5hw?authuser=0&hl=en&rclk=1,http://www.arayalresorts.com/
Iron Bridge Cove,,096059 25000,,4.6,692,Unknown,https://www.google.com/maps/place/Iron+Bridge+Cove/data=!4m10!3m9!1s0x3ba6128840000001:0xf71c283fc9d4aaf3!5m2!4m1!1i2!8m2!3d11.5316446!4d76.1342776!16s%2Fg%2F11j2ydfpg1!19sChIJAQAAQIgSpjsR86rUyT8oHPc?authuser=0&hl=en&rclk=1,http://ironbridgecove.com/
"Vythiri Wild Resort, Wayanad resort",,086062 32223,,4.1,325,Unknown,"https://www.google.com/maps/place/Vythiri+Wild+Resort,+Wayanad+resort/data=!4m10!3m9!1s0x3ba66d06669ef0e1:0xfef67661efbf63cf!5m2!4m1!1i2!8m2!3d11.5386868!4d76.0535927!16s%2Fg%2F11j2q0wn3l!19sChIJ4fCeZgZtpjsRz2O_72F29v4?authuser=0&hl=en&rclk=1",http://www.vythiriwildresort.com/
pabis luxurious stay,,094477 77803,,4.7,191,Unknown,https://www.google.com/maps/place/pabis+luxurious+stay/data=!4m10!3m9!1s0x3ba67308bd10829d:0xc337f28b97f5f8bc!5m2!4m1!1i2!8m2!3d11.5526561!4d76.0478684!16s%2Fg%2F11vc84gwlw!19sChIJnYIQvQhzpjsRvPj1l4vyN8M?authuser=0&hl=en&rclk=1,https://www.pabis.in/
Le Vista Resort,,085907 55100,,4.8,127,Unknown,https://www.google.com/maps/place/Le+Vista+Resort/data=!4m10!3m9!1s0x3ba607708869c127:0xb43abbf2407a0cfa!5m2!4m1!1i2!8m2!3d11.6608965!4d76.3193671!16s%2Fg%2F11vx69kv90!19sChIJJ8FpiHAHpjsR-gx6QPK7OrQ?authuser=0&hl=en&rclk=1,https://www.levistaresort.com/
Mahout resort,,097784 69990,,4.4,226,Unknown,https://www.google.com/maps/place/Mahout+resort/data=!4m10!3m9!1s0x3ba60dcbf6704f37:0x6f6c8f2948b19398!5m2!4m1!1i2!8m2!3d11.5592593!4d76.0967417!16s%2Fg%2F11l1fpthsk!19sChIJN09w9ssNpjsRmJOxSCmPbG8?authuser=0&hl=en&rclk=1,https://mahoutresort.com/home/
Vythiri Village Resort,,04936 233 100,,4.2,9035,Unknown,https://www.google.com/maps/place/Vythiri+Village+Resort/data=!4m10!3m9!1s0x3ba67396e38131bb:0xaedce1f74a99f29f!5m2!4m1!1i2!8m2!3d11.5588834!4d76.0425493!16s%2Fg%2F11fq92np36!19sChIJuzGB45ZzpjsRn_KZSvfh3K4?authuser=0&hl=en&rclk=1,https://www.vythirivillage.com/
Vyna Hillock Resorts,,090726 59090,,4.5,1145,Unknown,https://www.google.com/maps/place/Vyna+Hillock+Resorts/data=!4m10!3m9!1s0x3ba673a52e2848cf:0xc270cfd3f93ec9eb!5m2!4m1!1i2!8m2!3d11.5534208!4d76.0484243!16s%2Fg%2F11rgh21c_8!19sChIJz0goLqVzpjsR68k--dPPcMI?authuser=0&hl=en&rclk=1,http://vynaresorts.com/
"Vythiri Mist Resort, Wayanad",,097442 24499,,4.5,2606,Unknown,"https://www.google.com/maps/place/Vythiri+Mist+Resort,+Wayanad/data=!4m10!3m9!1s0x3ba66d70123b85c3:0xb060ae66c3e3813b!5m2!4m1!1i2!8m2!3d11.5403649!4d76.0537122!16s%2Fg%2F11bwcv3wbw!19sChIJw4U7EnBtpjsRO4Hjw2auYLA?authuser=0&hl=en&rclk=1",http://vythirimist.com/
Flora Vythiri Resort Wayanad,,089431 23111,,4.8,874,Unknown,https://www.google.com/maps/place/Flora+Vythiri+Resort+Wayanad/data=!4m10!3m9!1s0x3ba66d981788fae9:0xf4f36b4fb71971c7!5m2!4m1!1i2!8m2!3d11.5251036!4d76.038791!16s%2Fg%2F11q3qnskbt!19sChIJ6fqIF5htpjsRx3EZt09r8_Q?authuser=0&hl=en&rclk=1,https://www.florahospitality.com/india/wayanad/vythiri-flora-vythiri-resort
"Wild Courtyard Vythiri, Resort in Wayanad",,095626 36797,,4.9,352,Unknown,"https://www.google.com/maps/place/Wild+Courtyard+Vythiri,+Resort+in+Wayanad/data=!4m10!3m9!1s0x3ba66d389c02d663:0xac7bfdb236ca4903!5m2!4m1!1i2!8m2!3d11.547381!4d76.0627051!16s%2Fg%2F11jfprjm5_!19sChIJY9YCnDhtpjsRA0nKNrL9e6w?authuser=0&hl=en&rclk=1",https://www.secure-booking-engine.com/accounts/BIKFgoABI8wuSsP90HZRyw/properties/74eFlL43oYEj07CajZOHmw/booking-engine/web/source/4wsctBw6Oq6j-g9XuxeRzQ/
"Indeevara Retreat- Vythiri, Eco Friendly Luxury Resort",,090721 00023,,4.5,1540,Unknown,"https://www.google.com/maps/place/Indeevara+Retreat-+Vythiri,+Eco+Friendly+Luxury+Resort/data=!4m10!3m9!1s0x3ba673ecbe20baa7:0x6e65cac3ae55b4fe!5m2!4m1!1i2!8m2!3d11.5576778!4d76.0275663!16s%2Fg%2F11f6f_s6rn!19sChIJp7ogvuxzpjsR_rRVrsPKZW4?authuser=0&hl=en&rclk=1",https://www.stridehotels.com/indeevara-retreat-resort-in-wayanad/
Jeevess Retreat Wayanad,,092880 04403,,4.9,1868,Unknown,https://www.google.com/maps/place/Jeevess+Retreat+Wayanad/data=!4m10!3m9!1s0x3ba67370dc3e3e6d:0x57700ee9a022f94f!5m2!4m1!1i2!8m2!3d11.576427!4d76.0263362!16s%2Fg%2F11nxd21b9v!19sChIJbT4-3HBzpjsRT_kioOkOcFc?authuser=0&hl=en&rclk=1,https://jeevess.in/
Woodrose Resort,,090723 67699,,4.7,1062,Unknown,https://www.google.com/maps/place/Woodrose+Resort/data=!4m10!3m9!1s0x3ba60d25101e4f3f:0xcb7ab7290d19b804!5m2!4m1!1i2!8m2!3d11.592192!4d76.097816!16s%2Fg%2F11cs18rgjp!19sChIJP08eECUNpjsRBLgZDSm3ess?authuser=0&hl=en&rclk=1,https://www.woodrosewayanadresorts.com/
TalenResort Vythiri Villas,,086064 40055,,4.6,152,Unknown,https://www.google.com/maps/place/TalenResort+Vythiri+Villas/data=!4m10!3m9!1s0x3ba66d82e09260cf:0x705096a3cd43c224!5m2!4m1!1i2!8m2!3d11.5399201!4d76.033882!16s%2Fg%2F11g0kgs6qk!19sChIJz2CS4IJtpjsRJMJDzaOWUHA?authuser=0&hl=en&rclk=1,http://www.talenresort.in/
THE COVE LAKKIDI,,088482 22464,,4.3,285,Unknown,https://www.google.com/maps/place/THE+COVE+LAKKIDI/data=!4m10!3m9!1s0x3ba66d7388bf0669:0x7277799e5640227e!5m2!4m1!1i2!8m2!3d11.5207615!4d76.0202155!16s%2Fg%2F11t4w_sc31!19sChIJaQa_iHNtpjsRfiJAVp55d3I?authuser=0&hl=en&rclk=1,https://www.thecovelakkidi.com/
Vynza Resort,,091157 77888,,4.9,168,Unknown,https://www.google.com/maps/place/Vynza+Resort/data=!4m10!3m9!1s0x3ba66dd64fb5cc15:0x104c9e7ca722a59a!5m2!4m1!1i2!8m2!3d11.5386064!4d76.0456138!16s%2Fg%2F11yr10kt5n!19sChIJFcy1T9ZtpjsRmqUip3yeTBA?authuser=0&hl=en&rclk=1,https://vynzaresort.com/
Sterling Vythiri Wayanad,,079 6979 2029,,4.5,631,Unknown,https://www.google.com/maps/place/Sterling+Vythiri+Wayanad/data=!4m10!3m9!1s0x3ba66d42692cabd1:0xf309d3a34eadd768!5m2!4m1!1i2!8m2!3d11.5334562!4d76.0345571!16s%2Fg%2F11sr_jcqky!19sChIJ0assaUJtpjsRaNetTqPTCfM?authuser=0&hl=en&rclk=1,https://www.sterlingholidays.com/resorts-hotels/vythiri-wayanad
Grand Wish,,085906 24969,,4.4,96,Unknown,https://www.google.com/maps/place/Grand+Wish/data=!4m10!3m9!1s0x3ba673d0fe653307:0xcd605dde7707c31f!5m2!4m1!1i2!8m2!3d11.5526304!4d76.0487227!16s%2Fg%2F11wbzb7knj!19sChIJBzNl_tBzpjsRH8MHd95dYM0?authuser=0&hl=en&rclk=1,https://grandwish.in/
Green Mist Vythiri by Aspiration Hospitality,,096455 61454,,4.0,137,Unknown,https://www.google.com/maps/place/Green+Mist+Vythiri+by+Aspiration+Hospitality/data=!4m10!3m9!1s0x3ba673b07da3421b:0x5a9bcd999c3ace4!5m2!4m1!1i2!8m2!3d11.5497802!4d76.0402622!16s%2Fg%2F11rk23v8r8!19sChIJG0KjfbBzpjsR5KzDmdm8qQU?authuser=0&hl=en&rclk=1,http://www.greenmistcottage.com/
Vythiri Tea Garden Retreat,,094466 27227,,4.3,586,Unknown,https://www.google.com/maps/place/Vythiri+Tea+Garden+Retreat/data=!4m10!3m9!1s0x3ba67280e9dd2f6f:0xb003bea1b7860f13!5m2!4m1!1i2!8m2!3d11.5517519!4d76.0413474!16s%2Fg%2F11by_gh62z!19sChIJby_d6YBypjsREw-Gt6G-A7A?authuser=0&hl=en&rclk=1,https://teagardenretreat.in/
Vythiri Meadows,,085472 56708,,3.7,818,Unknown,https://www.google.com/maps/place/Vythiri+Meadows/data=!4m10!3m9!1s0x3ba66d824c9e0fcb:0x8485d41f4104beb9!5m2!4m1!1i2!8m2!3d11.5405625!4d76.0352662!16s%2Fg%2F1tffsc4q!19sChIJyw-eTIJtpjsRub4EQR_UhYQ?authuser=0&hl=en&rclk=1,http://www.vythirimeadows.com/
Vythiri Hill Palace Resort by Livora,,079028 90102,,4.1,306,Unknown,https://www.google.com/maps/place/Vythiri+Hill+Palace+Resort+by+Livora/data=!4m10!3m9!1s0x3ba67280c25598f3:0x2b64fce2327fe0d2!5m2!4m1!1i2!8m2!3d11.5519359!4d76.040938!16s%2Fg%2F11g9q5111z!19sChIJ85hVwoBypjsR0uB_MuL8ZCs?authuser=0&hl=en&rclk=1,https://www.vythiripalace.com/
Girassol Serviced Villa,,080865 10760,,4.2,867,Unknown,https://www.google.com/maps/place/Girassol+Serviced+Villa/data=!4m10!3m9!1s0x3ba66d7f49779e2d:0xb8afa5fa1201f10e!5m2!4m1!1i2!8m2!3d11.5423167!4d76.0407131!16s%2Fg%2F11crx_q_d0!19sChIJLZ53SX9tpjsRDvEBEvqlr7g?authuser=0&hl=en&rclk=1,https://sites.google.com/view/girassol-the-hill-villa/home
Resort Tree House,,04936 256 800,,4.0,27,No,https://www.google.com/maps/place/Resort+Tree+House/data=!4m10!3m9!1s0x3ba672872e798a07:0xf3f6579685dc1344!5m2!4m1!1i2!8m2!3d11.5535781!4d76.0415096!16s%2Fg%2F11c5_kttg0!19sChIJB4p5LodypjsRRBPchZZX9vM?authuser=0&hl=en&rclk=1,http://www.vythiriresort.com/tree-house.html
Tarang Holiday Resort,,098469 52913,,4.0,100,Unknown,https://www.google.com/maps/place/Tarang+Holiday+Resort/data=!4m10!3m9!1s0x3ba673cedd660f57:0x7d2511eaeff9caab!5m2!4m1!1i2!8m2!3d11.55738!4d76.0431288!16s%2Fg%2F11pcls6nrp!19sChIJVw9m3c5zpjsRq8r57-oRJX0?authuser=0&hl=en&rclk=1,http://casitastay.com/tarang/
3 Hills County Resort Wayanad,,080788 01188,,4.6,425,Unknown,https://www.google.com/maps/place/3+Hills+County+Resort+Wayanad/data=!4m10!3m9!1s0x3ba60ca778a6d929:0xc1dbc6e42730e885!5m2!4m1!1i2!8m2!3d11.5881714!4d76.0915437!16s%2Fg%2F11b7g02rng!19sChIJKdmmeKcMpjsRhegwJ-TG28E?authuser=0&hl=en&rclk=1,https://www.threehillsresort.com/
Avadale Wayanad (Stag Groups Not Allowed),,080 4718 5939,,4.5,275,Unknown,https://www.google.com/maps/place/Avadale+Wayanad+%28Stag+Groups+Not+Allowed%29/data=!4m10!3m9!1s0x3ba60d8012adafcb:0xfd66b6870f695132!5m2!4m1!1i2!8m2!3d11.6256371!4d76.1076182!16s%2Fg%2F11vztwjrcx!19sChIJy6-tEoANpjsRMlFpD4e2Zv0?authuser=0&hl=en&rclk=1,https://avadale.in/our-resorts/wayanad/?utm_source=gbp&utm_medium=banner&utm_campaign=wayanad
The Hive Wayanad - Kondody Hotels,,096455 53155,,4.7,658,Unknown,https://www.google.com/maps/place/The+Hive+Wayanad+-+Kondody+Hotels/data=!4m10!3m9!1s0x3ba60d4af78dbd51:0xe5ad004114dd0cf6!5m2!4m1!1i2!8m2!3d11.6243587!4d76.1213674!16s%2Fg%2F11vwpp0hhf!19sChIJUb2N90oNpjsR9gzdFEEAreU?authuser=0&hl=en&rclk=1,https://kondodyhotels.com/the-hive-resort-wayanad.html
Rock Haven Wayanad Resort & Experiences,,096054 88885,,4.8,195,Unknown,https://www.google.com/maps/place/Rock+Haven+Wayanad+Resort+%26+Experiences/data=!4m10!3m9!1s0x3ba60cd7fcdc4633:0x89b5a32d1789cd6e!5m2!4m1!1i2!8m2!3d11.5931376!4d76.0975698!16s%2Fg%2F1hjhf_rw8!19sChIJM0bc_NcMpjsRbs2JFy2jtYk?authuser=0&hl=en&rclk=1,http://www.rockhavenwayanad.com/
Coffee Acres Wayanad,,080758 98883,,4.6,1509,Unknown,https://www.google.com/maps/place/Coffee+Acres+Wayanad/data=!4m10!3m9!1s0x3ba67339c7c51e9b:0x4c6f6359f16c29c0!5m2!4m1!1i2!8m2!3d11.6121408!4d76.070124!16s%2Fg%2F11g_23pyp!19sChIJmx7FxzlzpjsRwCls8Vljb0w?authuser=0&hl=en&rclk=1,https://coffee-acres-plantation-resort.kerala-hotels-resorts.com/en/
INDRIYA RESORTS,,070903 33333,,5.0,2,No,https://www.google.com/maps/place/INDRIYA+RESORTS/data=!4m10!3m9!1s0x3ba67332eccafea7:0xb15227a46297b589!5m2!4m1!1i2!8m2!3d11.606621!4d76.0836876!16s%2Fg%2F11y1fczb5_!19sChIJp_7K7DJzpjsRibWXYqQnUrE?authuser=0&hl=en&rclk=1,http://indriyabeachresorts.com/
Green Gates Hotels,,04936 202 001,,4.0,1487,Unknown,https://www.google.com/maps/place/Green+Gates+Hotels/data=!4m10!3m9!1s0x3ba60cad141cb76d:0x4e649d277eabe823!5m2!4m1!1i2!8m2!3d11.62937!4d76.0873288!16s%2Fg%2F1tg7_xm4!19sChIJbbccFK0MpjsRI-irfiedZE4?authuser=0&hl=en&rclk=1,http://www.greengateshotel.com/
The golf valley resort,,085900 00673,,4.5,265,Unknown,https://www.google.com/maps/place/The+golf+valley+resort/data=!4m10!3m9!1s0x3ba673d186e0bf2d:0x7f991bb8599c1904!5m2!4m1!1i2!8m2!3d11.590119!4d76.0596452!16s%2Fg%2F11xsc_qyxn!19sChIJLb_ghtFzpjsRBBmcWbgbmX8?authuser=0&hl=en&rclk=1,https://golfvalleyresort.com/
KALLAT BRITISH RESORT,,099472 03333,,3.8,642,Unknown,https://www.google.com/maps/place/KALLAT+BRITISH+RESORT/data=!4m10!3m9!1s0x3ba60d3292c61591:0xcb8385fabb5244e5!5m2!4m1!1i2!8m2!3d11.582481!4d76.0879981!16s%2Fg%2F11d_x0pmnq!19sChIJkRXGkjINpjsR5URSu_qFg8s?authuser=0&hl=en&rclk=1,http://www.kallatbritishresort.com/
JUNGLE VALLEY RESORT WAYANAD,,073565 00397,,4.5,496,Unknown,https://www.google.com/maps/place/JUNGLE+VALLEY+RESORT+WAYANAD/data=!4m10!3m9!1s0x3ba60d97d39b0f01:0x928b215827cd2868!5m2!4m1!1i2!8m2!3d11.5622081!4d76.1122327!16s%2Fg%2F11flbs3fqv!19sChIJAQ-b05cNpjsRaCjNJ1ghi5I?authuser=0&hl=en&rclk=1,http://www.junglevalleyresort.com/
Pullat Suites,,097455 62525,,4.8,16,Unknown,https://www.google.com/maps/place/Pullat+Suites/data=!4m10!3m9!1s0x3ba60d1a55854b8d:0x6dbcdc696df274a5!5m2!4m1!1i2!8m2!3d11.6169736!4d76.0874573!16s%2Fg%2F11n4cx71s0!19sChIJjUuFVRoNpjsRpXTybWncvG0?authuser=0&hl=en&rclk=1,https://pullatsuites.com/
