Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Web Search Verification
Mass Residency,,097452 96260,,4.1,79,Unknown,https://www.google.com/maps/place/Mass+Residency/data=!4m10!3m9!1s0x3ba673283ce0d683:0x8cfa014a351c4e38!5m2!4m1!1i2!8m2!3d11.5945625!4d76.0755625!16s%2Fg%2F11c561xm50!19sChIJg9bgPChzpjsROE4cNUoB-ow?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Regalia Rooms & Dorms,,082898 11898,,3.6,18,Unknown,https://www.google.com/maps/place/Regalia+Rooms+%26+Dorms/data=!4m10!3m9!1s0x3ba60d12e11e3155:0x36a412be094bf4de!5m2!4m1!1i2!8m2!3d11.6267093!4d76.0876309!16s%2Fg%2F11l29v6f_1!19sChIJVTEe4RINpjsR3vRLCb4SpDY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Coffee stream holiday homes,,089217 44895,,4.8,25,Unknown,https://www.google.com/maps/place/Coffee+stream+holiday+homes/data=!4m10!3m9!1s0x3ba67344baebbdbf:0x7b4fb56e3cc73506!5m2!4m1!1i2!8m2!3d11.5668929!4d76.0825207!16s%2Fg%2F11yhtk0_5z!19sChIJv73rukRzpjsRBjXHPG61T3s?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Turmerica Resorts,,096057 88775,,3.8,186,No,https://www.google.com/maps/place/Turmerica+Resorts/data=!4m10!3m9!1s0x3ba672c2cf618a3b:0xa51d2380294b9105!5m2!4m1!1i2!8m2!3d11.5811737!4d76.0643182!16s%2Fg%2F11c5s7y8x4!19sChIJO4phz8JypjsRBZFLKYAjHaU?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
OYO Crystal Residency,,0124 620 1164,,3.1,173,Unknown,https://www.google.com/maps/place/OYO+Crystal+Residency/data=!4m10!3m9!1s0x3ba6732c6c20a9e9:0x913a85d4a82e1613!5m2!4m1!1i2!8m2!3d11.6005355!4d76.0816291!16s%2Fg%2F11c44cg_qr!19sChIJ6akgbCxzpjsRExYuqNSFOpE?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Royal Palm Resort,,094471 43124,,3.9,40,Unknown,https://www.google.com/maps/place/Royal+Palm+Resort/data=!4m10!3m9!1s0x3ba6733378947a4f:0x430a02ea166880ce!5m2!4m1!1i2!8m2!3d11.6162681!4d76.0888641!16s%2Fg%2F1tj510jr!19sChIJT3qUeDNzpjsRzoBoFuoCCkM?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Citadel Holiday Home,,99618 44227,,4.6,83,No,https://www.google.com/maps/place/Citadel+Holiday+Home/data=!4m10!3m9!1s0x3ba672ea4a933449:0x7ff6eb7a3c1e0bce!5m2!4m1!1i2!8m2!3d11.5749843!4d76.0624718!16s%2Fg%2F11fy54mxqb!19sChIJSTSTSupypjsRzgsePHrr9n8?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
GMR Suites,,075618 27927,,4.3,3,No,https://www.google.com/maps/place/GMR+Suites/data=!4m10!3m9!1s0x3ba67349707b6b9b:0x23fa60f60c18b911!5m2!4m1!1i2!8m2!3d11.619425!4d76.079037!16s%2Fg%2F11wp7ptljm!19sChIJm2t7cElzpjsREbkYDPZg-iM?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Sunrise homestay,,099161 78745,,4.1,32,No,https://www.google.com/maps/place/Sunrise+homestay/data=!4m10!3m9!1s0x3ba60ccce070c83d:0xaf7ca24d71da1d35!5m2!4m1!1i2!8m2!3d11.608351!4d76.086541!16s%2Fg%2F1jglwsdf1!19sChIJPchw4MwMpjsRNR3acU2ifK8?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
MGT Tourist Home,,094479 84705,,3.6,203,Unknown,https://www.google.com/maps/place/MGT+Tourist+Home/data=!4m10!3m9!1s0x3ba60cad7d5925cb:0xf515e5c7b9677f68!5m2!4m1!1i2!8m2!3d11.627631!4d76.0878514!16s%2Fg%2F124t1f96r!19sChIJyyVZfa0MpjsRaH9nucflFfU?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
mygardenofeden,,098470 72203,,4.6,9,No,https://www.google.com/maps/place/mygardenofeden/data=!4m10!3m9!1s0x3ba60d24a980745b:0xe652e9e4c3fcef1a!5m2!4m1!1i2!8m2!3d11.584296!4d76.102826!16s%2Fg%2F11_y167dv!19sChIJW3SAqSQNpjsRGu_8w-TpUuY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Navarang Villa,,063615 75496,,4.9,139,Unknown,https://www.google.com/maps/place/Navarang+Villa/data=!4m10!3m9!1s0x3ba6734a73d86fa9:0x862885fd036d59ef!5m2!4m1!1i2!8m2!3d11.616848!4d76.081595!16s%2Fg%2F11c4562388!19sChIJqW_Yc0pzpjsR71ltA_2FKIY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Red woods,,096057 78483,,4.0,28,No,https://www.google.com/maps/place/Red+woods/data=!4m10!3m9!1s0x3ba67346360080bd:0xa92bea9800a72b80!5m2!4m1!1i2!8m2!3d11.6189038!4d76.0725627!16s%2Fg%2F11cmsjngjk!19sChIJvYAANkZzpjsRgCunAJjqK6k?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Rainhills Holidays,,096052 80323,,4.1,76,Unknown,https://www.google.com/maps/place/Rainhills+Holidays/data=!4m10!3m9!1s0x3ba60d236b9ef559:0xbf06ebedd6006835!5m2!4m1!1i2!8m2!3d11.5853088!4d76.1039471!16s%2Fg%2F1tdflp_v!19sChIJWfWeayMNpjsRNWgA1u3rBr8?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Atmost,,097448 58482,,4.1,37,No,https://www.google.com/maps/place/Atmost/data=!4m10!3m9!1s0x3ba672dee442a4f3:0xd7da6d7221b742a3!5m2!4m1!1i2!8m2!3d11.591053!4d76.0658605!16s%2Fg%2F11cm00l52_!19sChIJ86RC5N5ypjsRo0K3IXJt2tc?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Rocky Nest,,094472 97893,,4.6,14,No,https://www.google.com/maps/place/Rocky+Nest/data=!4m10!3m9!1s0x3ba673343db8c823:0x716175afae42940e!5m2!4m1!1i2!8m2!3d11.6121334!4d76.0807917!16s%2Fg%2F1pty7399c!19sChIJI8i4PTRzpjsRDpRCrq91YXE?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Wayanad Palms,,097449 71144,,4.2,10,No,https://www.google.com/maps/place/Wayanad+Palms/data=!4m10!3m9!1s0x3ba67347dc87274b:0x72cd60d858813f9e!5m2!4m1!1i2!8m2!3d11.6175377!4d76.0734451!16s%2Fg%2F1q5btqn4b!19sChIJSyeH3EdzpjsRnj-BWNhgzXI?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Best holidays wayanad,,097469 60690,,4.8,84,Unknown,https://www.google.com/maps/place/Best+holidays+wayanad/data=!4m10!3m9!1s0x3ba60d3bfe415ebd:0x15faa0979b608f7e!5m2!4m1!1i2!8m2!3d11.5784534!4d76.102707!16s%2Fg%2F11f123twd1!19sChIJvV5B_jsNpjsRfo9gm5eg-hU?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Angels Nest Home stay kattikulam,,080752 24725,,4.7,107,No,https://www.google.com/maps/place/Angels+Nest+Home+stay+kattikulam/data=!4m10!3m9!1s0x3ba5dda930bda4db:0x853d3514b6bba8bb!5m2!4m1!1i2!8m2!3d11.8367408!4d76.0410547!16s%2Fg%2F11tc12wzhb!19sChIJ26S9MKndpTsRu6i7thQ1PYU?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Tiger County Jungle Lodge,,04935 296 333,,4.5,287,Unknown,https://www.google.com/maps/place/Tiger+County+Jungle+Lodge/data=!4m10!3m9!1s0x3ba5dd78b7283f4d:0x569fd608dc789db1!5m2!4m1!1i2!8m2!3d11.8354709!4d76.0491591!16s%2Fg%2F11h0mp24k4!19sChIJTT8ot3jdpTsRsZ143AjWn1Y?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
ATTICS by Kabani Riverside,,094465 67074,,4.5,46,Unknown,https://www.google.com/maps/place/ATTICS+by+Kabani+Riverside/data=!4m10!3m9!1s0x3ba5dfdf53aa6ffb:0xf7353b06756d3d18!5m2!4m1!1i2!8m2!3d11.7799735!4d76.0445584!16s%2Fg%2F11rd9s9lr5!19sChIJ-2-qU9_fpTsRGD1tdQY7Nfc?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Cinnamon Villa Wayanad,,079074 46610,,4.9,56,Unknown,https://www.google.com/maps/place/Cinnamon+Villa+Wayanad/data=!4m10!3m9!1s0x3ba5d977eee55aeb:0x3502a5ec7c83bd2a!5m2!4m1!1i2!8m2!3d11.7823372!4d75.962856!16s%2Fg%2F11tp18wmym!19sChIJ61rl7nfZpTsRKr2DfOylAjU?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Relax Inn Dwaraka,,083018 17210,,4.5,8,Unknown,https://www.google.com/maps/place/Relax+Inn+Dwaraka/data=!4m10!3m9!1s0x3ba5dfd89a0ef5f1:0xbb1ce7937822e7aa!5m2!4m1!1i2!8m2!3d11.7584823!4d76.006891!16s%2Fg%2F11r_qp7f63!19sChIJ8fUOmtjfpTsRqucieJPnHLs?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Yayaz Resorts & Hotels Wayanad (Amida Castle),,089600 01166,,4.0,379,Unknown,https://www.google.com/maps/place/Yayaz+Resorts+%26+Hotels+Wayanad+%28Amida+Castle%29/data=!4m10!3m9!1s0x3ba60f465ccb7589:0x84b916abc6a534c9!5m2!4m1!1i2!8m2!3d11.6334416!4d76.252048!16s%2Fg%2F11b6rzkgf1!19sChIJiXXLXEYPpjsRyTSlxqsWuYQ?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
"Kashmir Mist Resort , sulthan bathery",,090480 01900,,4.5,35,Unknown,"https://www.google.com/maps/place/Kashmir+Mist+Resort+,+sulthan+bathery/data=!4m10!3m9!1s0x3ba608a320e489bb:0x2ac45eddf794dc76!5m2!4m1!1i2!8m2!3d11.6669215!4d76.2622668!16s%2Fg%2F11dxldt71h!19sChIJu4nkIKMIpjsRdtyU991exCo?authuser=0&hl=en&rclk=1",no matching own-domain result in top results (checked 2x)
WayanadHome,,094469 52496,,4.2,64,No,https://www.google.com/maps/place/WayanadHome/data=!4m10!3m9!1s0x3ba60f53fecae725:0x2494b4eb0c66517e!5m2!4m1!1i2!8m2!3d11.6422669!4d76.2646102!16s%2Fg%2F1tnhws6s!19sChIJJefK_lMPpjsRflFmDOu0lCQ?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
OYO Sierra Vista Apartments,,0124 620 1164,,4.3,47,Unknown,https://www.google.com/maps/place/OYO+Sierra+Vista+Apartments/data=!4m10!3m9!1s0x3ba60979d7a3557b:0x705b5b431e6266e!5m2!4m1!1i2!8m2!3d11.683041!4d76.266905!16s%2Fg%2F11gzn_34kg!19sChIJe1Wj13kJpjsRbibmMbS1BQc?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
WAYANAD MIST TOURIST HOME,,085898 42500,,4.3,12,Unknown,https://www.google.com/maps/place/WAYANAD+MIST+TOURIST+HOME/data=!4m10!3m9!1s0x3ba608baedc46635:0x98b23dc71daf3e06!5m2!4m1!1i2!8m2!3d11.6600737!4d76.2571821!16s%2Fg%2F11gf09dkjl!19sChIJNWbE7boIpjsRBj6vHcc9spg?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Chakkalakkal Residency,,099476 30043,,3.7,180,Unknown,https://www.google.com/maps/place/Chakkalakkal+Residency/data=!4m10!3m9!1s0x3ba608b0fd72530d:0xad0ad6d846006015!5m2!4m1!1i2!8m2!3d11.6561519!4d76.2560285!16s%2Fg%2F11btstxsbh!19sChIJDVNy_bAIpjsRFWAARtjWCq0?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
WavesMahe,,098452 87717,,4.8,258,Unknown,https://www.google.com/maps/place/WavesMahe/data=!4m10!3m9!1s0x3ba427fcfd1a2843:0x6a4093cc967a1de2!5m2!4m1!1i2!8m2!3d11.708243!4d75.524613!16s%2Fg%2F11f5ly6m_k!19sChIJQyga_fwnpDsR4h16lsyTQGo?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Chinar villa Homestay,,062380 76197,,4.8,259,Unknown,https://www.google.com/maps/place/Chinar+villa+Homestay/data=!4m10!3m9!1s0x3ba677e16b850c6d:0xd10a153c3fa8145d!5m2!4m1!1i2!8m2!3d11.6611107!4d75.9728639!16s%2Fg%2F11hzn46zhg!19sChIJbQyFa-F3pjsRXRSoPzwVCtE?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Grande Vista Resort Wayanad,,083675 00600,,4.2,113,Unknown,https://www.google.com/maps/place/Grande+Vista+Resort+Wayanad/data=!4m10!3m9!1s0x3ba6736f0b1adc0d:0xc4a0ca4c8f8ff75a!5m2!4m1!1i2!8m2!3d11.6518688!4d75.9679294!16s%2Fg%2F11c3pmxx9d!19sChIJDdwaC29zpjsRWvePj0zKoMQ?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Golden Hill View Resort Wayanad,,085898 89775,,3.9,157,Unknown,https://www.google.com/maps/place/Golden+Hill+View+Resort+Wayanad/data=!4m10!3m9!1s0x3ba6772597c0aeb7:0xd60a1b9515939edb!5m2!4m1!1i2!8m2!3d11.6844574!4d75.949152!16s%2Fg%2F11pf2nyyff!19sChIJt67AlyV3pjsR256TFZUbCtY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Lake Monarch Heritage Cottages,,081119 98851,,4.2,48,Unknown,https://www.google.com/maps/place/Lake+Monarch+Heritage+Cottages/data=!4m10!3m9!1s0x3ba676a49f79dead:0xf412a4fa3d5078dc!5m2!4m1!1i2!8m2!3d11.649938!4d75.98277!16s%2Fg%2F11d_1mfcnt!19sChIJrd55n6R2pjsR3HhQPfqkEvQ?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Tharavad heritage villa,,094009 73549,,4.5,103,Unknown,https://www.google.com/maps/place/Tharavad+heritage+villa/data=!4m10!3m9!1s0x3ba677ad3f5387bd:0x53998c54cd211a0!5m2!4m1!1i2!8m2!3d11.6858485!4d75.9452217!16s%2Fg%2F11g9vnc0zf!19sChIJvYdTP613pjsRoBHSTMWYOQU?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Rain Drops Homestay,,094473 41103,,4.0,110,Unknown,https://www.google.com/maps/place/Rain+Drops+Homestay/data=!4m10!3m9!1s0x3ba676f5b88bf8d7:0x2c420fe136d0237e!5m2!4m1!1i2!8m2!3d11.6751436!4d75.9653557!16s%2Fg%2F1tgh5_jx!19sChIJ1_iLuPV2pjsRfiPQNuEPQiw?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Wind Chimes Ville,,093888 09996,,4.6,73,Unknown,https://www.google.com/maps/place/Wind+Chimes+Ville/data=!4m10!3m9!1s0x3ba5dff1be09f5ef:0x8e2134a5b3b45645!5m2!4m1!1i2!8m2!3d11.6511532!4d75.9765693!16s%2Fg%2F11bvcv9mk4!19sChIJ7_UJvvHfpTsRRVa0s6U0IY4?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Wayanad Avenue Resorts,,062355 23714,,4.7,49,Unknown,https://www.google.com/maps/place/Wayanad+Avenue+Resorts/data=!4m10!3m9!1s0x3ba677257f4e9bb7:0x7f192593ffc34a2d!5m2!4m1!1i2!8m2!3d11.6752306!4d75.9873657!16s%2Fg%2F11yp45fj4s!19sChIJt5tOfyV3pjsRLUrD_5MlGX8?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Wayanad Wind Resorts,,098471 87755,,5.0,1,Unknown,https://www.google.com/maps/place/Wayanad+Wind+Resorts/data=!4m10!3m9!1s0x3ba677e2d62b6f59:0xa04815bd8f26150d!5m2!4m1!1i2!8m2!3d11.655311!4d75.9700942!16s%2Fg%2F11r6y0xmd2!19sChIJWW8r1uJ3pjsRDRUmj70VSKA?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Cherry Castle,,095629 41391,,4.6,36,No,https://www.google.com/maps/place/Cherry+Castle/data=!4m10!3m9!1s0x3ba677e54e1a7d8b:0x698f2f8ca556ed1d!5m2!4m1!1i2!8m2!3d11.6739345!4d75.9427675!16s%2Fg%2F11fj2lqwrd!19sChIJi30aTuV3pjsRHe1WpYwvj2k?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
OYO Flagship 812334 Hill View Galaxy Villa,,0124 620 1164,,3.7,84,Unknown,https://www.google.com/maps/place/OYO+Flagship+812334+Hill+View+Galaxy+Villa/data=!4m10!3m9!1s0x3ba67753b1fbb781:0x17f4ce75e74440c1!5m2!4m1!1i2!8m2!3d11.675312!4d75.97419!16s%2Fg%2F11h3sqh8dz!19sChIJgbf7sVN3pjsRwUBE53XO9Bc?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Anchor Resorts,,094465 52359,,3.9,127,Unknown,https://www.google.com/maps/place/Anchor+Resorts/data=!4m10!3m9!1s0x3ba427ceb01416f9:0xa9dc8d6271e21549!5m2!4m1!1i2!8m2!3d11.7635!4d75.5029408!16s%2Fg%2F11g24f76n5!19sChIJ-RYUsM4npDsRSRXicWKN3Kk?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
PWD Rest House,,0490 232 0468,,3.7,86,No,https://www.google.com/maps/place/PWD+Rest+House/data=!4m10!3m9!1s0x3ba426f4b93be63f:0x4196ffe8f77115e0!5m2!4m1!1i2!8m2!3d11.7633285!4d75.4755733!16s%2Fg%2F11c57d8930!19sChIJP-Y7ufQmpDsR4BVx9-j_lkE?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
The Metro Landsend Beach Resort,,070254 05556,,4.0,45,Unknown,https://www.google.com/maps/place/The+Metro+Landsend+Beach+Resort/data=!4m10!3m9!1s0x3ba422b9d33c40ab:0xd347595d0ce4587c!5m2!4m1!1i2!8m2!3d11.8569815!4d75.3615224!16s%2Fg%2F11c2phj807!19sChIJq0A807kipDsRfFjkDF1ZR9M?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Arabian Beach Resort,,075610 11155,,4.1,342,Unknown,https://www.google.com/maps/place/Arabian+Beach+Resort/data=!4m10!3m9!1s0x3ba43d59aa598f21:0xcd5d85ebf93bace9!5m2!4m1!1i2!8m2!3d11.881493!4d75.3443402!16s%2Fg%2F11b6_jw9x6!19sChIJIY9Zqlk9pDsR6aw7-euFXc0?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Mabbit Hotels & Resorts in Calicut,,099467 07777,,4.7,40,Unknown,https://www.google.com/maps/place/Mabbit+Hotels+%26+Resorts+in+Calicut/data=!4m10!3m9!1s0x3ba65f0031140871:0x411f407859bf1fd5!5m2!4m1!1i2!8m2!3d11.3023526!4d75.7725218!16s%2Fg%2F11xztgj_0t!19sChIJcQgUMQBfpjsR1R-_WXhAH0E?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
FARM FORT RESORT & CONVENTION CENTRE,,080861 11888,,4.7,201,Unknown,https://www.google.com/maps/place/FARM+FORT+RESORT+%26+CONVENTION+CENTRE/data=!4m10!3m9!1s0x3ba65bf066dad763:0x958110a52b252d8d!5m2!4m1!1i2!8m2!3d11.1847705!4d75.8468286!16s%2Fg%2F11vr0v8g_z!19sChIJY9faZvBbpjsRjS0lK6UQgZU?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Nalanda Hotel and Auditorium,,0495 236 6566,,3.7,2140,No,https://www.google.com/maps/place/Nalanda+Hotel+and+Auditorium/data=!4m10!3m9!1s0x3ba6593bcce9633d:0x5c75a0db61e2ccf3!5m2!4m1!1i2!8m2!3d11.2550102!4d75.7768949!16s%2Fg%2F1tppqd6z!19sChIJPWPpzDtZpjsR88ziYdugdVw?authuser=0&hl=en&rclk=1,search failed: No results found. (checked 2x)
Florence ooty,,092073 79101,,4.5,278,Unknown,https://www.google.com/maps/place/Florence+ooty/data=!4m10!3m9!1s0x3ba897d656efa3c7:0xbbb0b9d44c95c8e1!5m2!4m1!1i2!8m2!3d11.3784319!4d76.6564747!16s%2Fg%2F11kj2brsy7!19sChIJx6PvVtaXqDsR4ciVTNS5sLs?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
SUNSET VALLEY HOLIDAY INN,,097516 38143,,4.7,869,Unknown,https://www.google.com/maps/place/SUNSET+VALLEY+HOLIDAY+INN/data=!4m10!3m9!1s0x3ba8bde58a41ade5:0x377c98858f776d88!5m2!4m1!1i2!8m2!3d11.4172536!4d76.7221622!16s%2Fg%2F11dfjbn3fn!19sChIJ5a1BiuW9qDsRiG13j4WYfDc?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
